HGNC symbol	MGI symbol
ACP6	Acp6
SFRP1	Sfrp1
IFNA8	Ifna11
IFNA8	Ifna5
IFNA8	Ifna1
FGD3	Fgd3
RNA5SP321	Gm26405
RNA5SP321	n-R5s164
IST1	Ist1
C6orf120	1600012H06Rik
ARMC7	Armc7
LIPA	Lipa
RNU6-808P	Gm22245
CKAP4	Ckap4
PSEN1	Psen1
SERPINB6	Serpinb6b
TSPO	Tspo
IGKV2D-40	Igkv2-112
CBR4	Cbr4
FABP12	Fabp12
TMEM9B	Tmem9b
NKX2-1	Nkx2-1
RNF41	Rnf41
TUBA1C	Tuba1c
TES	Gm4907
TES	Gm4985
ADPRHL2	Adprhl2
	Gm25116
OR52I2	Olfr556
GINS3	Gins3
ALPP	Alppl2
ALPP	Alpi
ALPP	Akp3
ITPR3	Itpr3
	Slc6a8
EIF3A	Eif3a
WTIP	Wtip
PLCG2	Plcg2
HAUS3	Haus3
MBOAT7	Mboat7
UCP1	Ucp1
THOC5	Thoc5
HEATR1	Heatr1
POLR2B	Polr2b
SAMD5	Samd5
EXOSC10	Exosc10
IL12RB1	Il12rb1
GPAT2	Gpat2
CHERP	Cherp
LMTK3	Lmtk3
POLR3B	Polr3b
CNTNAP3	Cntnap3
RAB32	Rab32
RAB11FIP1	Rab11fip1
ADCY1	Adcy1
CTNNA1	Ctnna1
TPK1	Tpk1
	Gm24896
TGFBRAP1	Tgfbrap1
MIR409	Gm24321
FAIM	Faim
RNU6-249P	Gm26325
RNU6-249P	Gm26063
KDELR3	Kdelr3
KRTAP10-8	Gm3250
KRTAP10-8	Gm19402
DHX36	Dhx36
GBE1	Gbe1
BCL7A	Bcl7a
P2RX7	P2rx7
OR4X2	Olfr1269
OR4X2	Olfr1506
OR4X2	Gm13769
PIGO	Pigo
GPR55	Gpr55
GOLPH3L	Golph3l
TK1	Tk1
ZNF410	Zfp410
ATP8B3	Atp8b3
	Gm27993
C14orf105	1700011H14Rik
RNU6-988P	Gm22259
IRGM	Irgm1
FBXO38	Fbxo38
ASNS	Asns
RNU6-295P	Gm24805
RN7SKP256	Gm22484
TRAV12-3	Trav7-2
TRAV12-3	Trav7-3
TRAV12-3	Trav7-1
TRAV12-3	Trav7d-2
TRAV12-3	Trav7d-3
TRAV12-3	Trav7-5
TRAV12-3	Trav7d-5
CYP2D7	Cyp2d34
CYP2D7	Cyp2d26
CYP2D7	Cyp2d12
CYP2D7	Cyp2d22
TRIM17	Trim17
ZNF225	Zfp715
SNRPA	Gm5145
S100A7A	S100a7a
	Lims1
KRTAP12-1	Krtap12-1
KRTAP12-1	Gm10100
KRTAP12-1	Gm10142
RRP8	Rrp8
BPIFB4	Bpifb4
IRF2BPL	Irf2bpl
PRAMEF25	Gm13128
PRAMEF25	Gm13125
PRAMEF25	Pramef12
PRAMEF25	Pramel7
PRAMEF25	Gm7942
	Gm27366
RNF133	Rnf133
SEMA3G	Sema3g
AZIN2	Azin2
ZFYVE1	Zfyve1
TMEM219	Tmem219
DYNC1I2	Dync1i2
FOLR3	Folr2
SHPRH	Shprh
RN7SKP86	Gm24930
MGAT3	Mgat3
TMEM201	Tmem201
TICRR	Ticrr
TAL2	Tal2
	Rap1b
EIF2S3	Eif2s3x
SPOPL	Spopl
SYTL2	Sytl2
ORMDL2	Ormdl2
ATE1	Ate1
NAA11	Naa11
RAB27B	Rab27b
VPS41	Vps41
HNF4A	Hnf4a
FAM53A	Fam53a
TMEM145	Tmem145
OR51F1	Olfr566
DNAJA2	Dnaja2
POLE3	Pole3
LRRC74A	Lrrc74a
SEPSECS	Sepsecs
SEPP1	Sepp1
PRKCSH	Prkcsh
SNORD35A	Snord35a
NANP	Gm6741
ARL4D	Arl4d
COL15A1	Col15a1
CCR1	Ccr1
PLA2G2A	Pla2g2a
OR51B4	Olfr66
DSG1	Dsg1c
DSG1	Dsg1a
DSG1	Dsg1b
OR10A5	Olfr713
OR10A5	Olfr714
ITGB4	Itgb4
TIMM17B	Timm17b
ASPA	Aspa
RN7SKP20	Gm22793
FAM89A	Fam89a
SLAMF6	Slamf6
RPL5	Rpl5
RNA5SP447	Gm25554
KCNN1	Kcnn1
NDST1	Ndst1
RNA5SP28	n-R5s27
GPR85	Gpr85
VAPB	Vapb
GAR1	Gar1
MBIP	Mbip
GNS	Gns
RNU6-94P	Gm23042
PRPF38B	Prpf38b
XRRA1	Xrra1
SLU7	Slu7
	Gm23339
	Gm23123
	Gm23278
	Gm24475
	Gm22210
	Gm23716
	Gm23598
	Gm24782
FOXF2	Foxf2
SMC5	Smc5
TSNAX-DISC1	Tsnax
ITPRIPL2	Itpripl2
REM1	Rem1
KRT4	Krt4
CLEC2D	Clec2j
ACKR2	Ackr2
BPIFB6	Bpifb6
ARPC5	Gm16372
KCNA2	Kcna2
	Gm22687
RANBP17	Ranbp17
IL15	Il15
CLCN2	Clcn2
BOD1	Bod1
MT3	Mt3
ADGRD1	Adgrd1
PIGA	Piga
RNU6-433P	Gm23042
GPR42	Ffar3
ID4	Id4
SNORD19B	Gm24916
HNMT	Hnmt
DSG4	Dsg4
GPR174	Gpr174
GAD1	Gad1-ps
AHRR	Ahrr
CLDN11	Cldn11
SFMBT1	Sfmbt1
VDAC1	Vdac1
ZXDA	Zxdb
KRT86	Krt86
OGT	Ogt
RANBP10	Ranbp10
MAPRE3	Mapre3
SNORD18A	Gm23344
OR56A3	Olfr681
FAM172A	Fam172a
ARMC1	Armc1
SNORA2B	Gm24166
P2RX2	P2rx2
TOX2	Tox2
	Rny1
RDH12	Rdh12
BTD	Btd
MON2	Mon2
PDXDC1	Pdxdc1
HSPB2-C11orf52	Hspb2
RNU6-66P	Gm22229
SLC30A5	Slc30a5
SNORA74B	Gm23946
CHRNB1	Chrnb1
WWC2	Wwc2
	Gm26347
RN7SL764P	Gm22567
DHX58	Dhx58
MOK	Mok
CD48	Cd48
PRSS55	Prss55
AAAS	Aaas
ESPL1	Espl1
PPP1R32	Ppp1r32
GGPS1	Ggps1
EMCN	Emcn
SOX12	Sox12
	Gm27679
RNU6-878P	Gm24892
HYOU1	Hyou1
APOL3	Apol8
APOL3	Apol7e
	Gm27869
CDH16	Cdh16
RNU6-318P	Gm24142
RNU6-1295P	Gm24142
EPB41L4A	Epb4.1l4a
RXRB	Rxrb
GRIK4	Grik4
WDR87	4932431P20Rik
SBSPON	Sbspon
ARV1	Arv1
TMEM123	Tmem123
NXPE2	Nxpe2
HPN	Hpn
ERCC4	Ercc4
MAGEA12	Magea6
MAGEA12	Magea3
MAGEA12	Magea8
MAGEA12	Magea1
MAGEA12	Magea2
MAGEA12	Magea5
FAM188A	Fam188a
DIO2	Dio2
RNA5SP416	n-R5s76
KIAA1549L	D430041D05Rik
WDR19	Wdr19
CCNC	Ccnc
ANO6	Ano6
TSSK3	Tssk3
CCDC148	Ccdc148
RNA5SP39	Gm22560
USP47	Usp47
SERPINB1	Serpinb1a
RNU6-675P	Gm25425
RNU6-440P	Gm22208
RMI1	Rmi1
PNPT1	Pnpt1
POLR1E	Polr1e
COX7A2L	Cox7a2l
FNDC9	Fndc9
RTBDN	Rtbdn
ATP2B1	Atp2b1
WDFY2	Wdfy2
MRPL45	Mrpl45
CRNN	Crnn
RFWD3	Rfwd3
	Gm13128
	Gm13125
	Pramef12
	Pramel7
	Gm7942
SMARCC2	Smarcc2
RPL17	Gm6133
SP7	Sp7
AGAP3	Agap3
MT1B	Mt1
MT1B	Mt2
RNU6-719P	Gm26062
RNU6-1187P	Gm23205
YTHDC2	Ythdc2
TRBV28	Trbv29
POTEC	Gm21119
POTEC	Poteg
POTEC	4931423N10Rik
SOX17	Sox17
PYROXD2	Pyroxd2
GTF3C2	Gtf3c2
DOCK4	Dock4
ANKRD53	Ankrd53
GPR87	Gpr87
ATP8B1	Atp8b1
DUSP21	Dusp21
CYB561D1	Cyb561d1
CDK13	Cdk13
	Gm27893
BTBD1	Btbd1
SNORA79	Gm24241
SNORA79	Gm23987
CD2BP2	Cd2bp2
RN7SL182P	Gm22567
GTF2A1	Gm5435
RPS15A	Rps15a
METTL7B	Mettl7b
CDCA7L	Cdca7l
CORIN	Corin
	Gm24233
DTNBP1	Dtnbp1
ARHGAP28	Arhgap28
IPP	Ipp
RBM24	Rbm24
ZNF532	Zfp532
GABRA5	Gabra5
MAP4K3	Map4k3
NOB1	Nob1
CAPN1	Capn1
TAS2R7	Tas2r130
MYBPC3	Mybpc3
GPS1	Gps1
MBTPS1	Mbtps1
PKN1	Pkn1
SSTR1	Sstr1
PRAMEF1	Gm13128
PRAMEF1	Gm13125
PRAMEF1	Pramef12
PRAMEF1	Pramel7
PRAMEF1	Gm7942
TIE1	Tie1
BTF3	Btf3
CTSC	Ctsc
RNU6-1154P	Gm24689
CYP27A1	Cyp27a1
NSD1	Nsd1
SH2D6	Sh2d6
NELL2	Nell2
RN7SKP135	Gm23499
CFAP58	Cfap58
UMOD	Umod
ZNF32	Zfp637
RNU6-970P	Gm23503
TRIM71	Trim71
CLDN24	Cldn24
LCN9	Lcn9
P2RY13	P2ry13
SECISBP2L	Secisbp2l
ZNF503	Zfp503
VPS36	Vps36
SCARNA3	Gm25119
SCARNA3	Gm22416
RALGAPA1	Ralgapa1
FRMPD1	Frmpd1
USP17L25	Usp17le
USP17L25	Usp17lb
ATXN1	Atxn1
MYBPC2	Mybpc2
LSM5	Lsm5
PEG10	Peg10
PITPNM1	Pitpnm1
SNORD19	Snord19
TYRP1	Tyrp1
KERA	Kera
TRIM62	Trim62
HCAR2	Hcar2
NEUROD4	Neurod4
OR13J1	Olfr71
UBA1	Uba1
C16orf45	2900011O08Rik
BPHL	Bphl
RD3	Rd3
	Rpp14
CTHRC1	Cthrc1
PPP1R16B	Ppp1r16b
ZNF274	Zfp369
RNU6-762P	Gm24996
ZNF7	Zfp7
GPM6A	Gpm6a
C11orf52	2310030G06Rik
ADCYAP1R1	Adcyap1r1
TMEM168	Tmem168
ESAM	Esam
PARD6G	Pard6g
SHROOM4	Shroom4
COMMD10	Commd10
OVOL3	Ovol3
	Gm22729
FGF20	Fgf20
PRAMEF4	Gm13128
PRAMEF4	Gm13125
PRAMEF4	Pramef12
PRAMEF4	Pramel7
PRAMEF4	Gm7942
RNA5SP56	n-R5s61
EPYC	Epyc
F13A1	F13a1
NUP93	Nup93
PKIG	Pkig
ANKHD1-EIF4EBP3	Ankhd1
MLEC	Mlec
LYZ	Lyz1
LYZ	Lyz2
C8orf89	4930444P10Rik
HBG1	Hbb-bh1
ZNF536	Zfp536
MASP2	Masp2
ZNF534	Zfp850
PRAMEF11	Gm13128
PRAMEF11	Gm13125
PRAMEF11	Pramef12
PRAMEF11	Pramel7
PRAMEF11	Gm7942
CCNH	Ccnh
NQO2	Nqo2
ODF3B	Odf3b
FMO4	Fmo4
RNU6-18P	Gm22264
SSX2B	Ssxb2
SSX2B	Gm14459
SSX2B	Ssxb6
ARFGAP3	Arfgap3
TAC1	Tac1
CDY1	Cdyl
OR2W1	Olfr263
FAM49B	Fam49b
CIDEB	Cideb
ARHGEF10	Arhgef10
FGF9	Fgf9
STK32A	Stk32a
MRPL43	Mrpl43
RNA5SP432	Gm23957
HECTD3	Hectd3
PSD	Psd
AVL9	Avl9
USP17L30	Usp17le
USP17L30	Usp17lb
CSAD	Csad
BFAR	Bfar
	Man2b1
GGTLC3	Ggt1
TREML4	Treml4
OR52B2	Olfr691
KIAA0930	5031439G07Rik
PLAC8L1	Plac8l1
LRRC37A	Lrrc37a
LRRC37A	Gm884
FBXO33	Fbxo33
TMEM246	Tmem246
SNORA44	Gm22520
TOX	Tox
SERPINA9	Serpina9
GPATCH8	Gpatch8
STXBP6	Stxbp6
RAB2B	Rab2b
DOC2B	Doc2b
HMGB4	Hmgb4
RNU6-680P	Gm23186
NGF	Ngf
ST5	St5
RNU6-1265P	Gm23864
ELL	Ell
ACACB	Acacb
SNORD30	Gm22680
ASTL	Astl
IGKV3-11	Igkc
SNORA74A	Snora74a
GK2	Gk2
IL17B	Il17b
RNU6-530P	Gm25643
SLC25A21	Slc25a21
FOXB2	Foxb2
TRIB3	Trib3
DNAH10	Dnah10
CXXC4	Cxxc4
	Gm27755
ZBTB39	Zbtb39
SLC6A2	Slc6a2
GBA	Gba
RNA5SP415	n-R5s76
MRGPRX4	Mrgpra6
MRGPRX4	Mrgpra9
MRGPRX4	Mrgpra1
MRGPRX4	Mrgpra2a
MRGPRX4	Mrgpra2b
MRGPRX4	Mrgpra3
CYP2C8	Cyp2c69
RNU6-817P	Gm24035
CNGB3	Cngb3
ALLC	Allc
SNORA38	Gm23442
KCNH8	Kcnh8
CDC42SE2	Cdc42se2
	Selk
	Gm27610
	Gm27976
FGL2	Fgl2
TMEM106C	Tmem106c
RNU6-601P	Gm25390
RNU6-601P	Gm24263
ADAMTS19	Adamts19
DHFRL1	Dhfr
C2orf49	AI597479
KLK1	Klk1
KLK1	Klk1b21
MAZ	Maz
ARMC5	Armc5
RNU6-387P	Gm25147
ABCB4	Abcb4
RRH	Rrh
PCDHA2	Pcdha2
KLHL2	Klhl2
MINPP1	Minpp1
NOP56	Nop56
ZADH2	Zadh2
GBP5	Gbp5
ANKRD30B	Gm21119
ANKRD30B	Poteg
ANKRD30B	4931423N10Rik
TLX3	Tlx3
GPNMB	Gpnmb
	Gm22519
POLR2H	Polr2h
SIMC1	Simc1
	Olfr547
OR14J1	Olfr125
VRTN	Vrtn
MEI1	Mei1
	Gm27404
BMP6	Bmp6
FOXD4L1	Foxd4
OBP2B	Lcn4
KIF21A	Kif21a
HCAR1	Hcar1
CNN3	Cnn3
ADH6	Adh6a
SBNO1	Sbno1
POTEB3	Gm21119
POTEB3	Poteg
POTEB3	4931423N10Rik
CCDC170	Ccdc170
HAPLN3	Hapln3
SCARNA11	Gm23751
IER2	Ier2
KCTD2	Kctd2
WWTR1	Wwtr1
SLC39A1	Slc39a1
SLTM	Sltm
ABCA12	Abca12
RBP4	Rbp4
RNA5SP244	Gm25669
CDH20	Cdh20
LRRC6	Lrrc6
NDUFS4	Ndufs4
WSB2	Wsb2
EGLN2	Egln2
NAP1L1	Nap1l1
C5orf28	Gm21967
DPP6	Dpp6
HLX	Hlx
RRM1	Rrm1
VWCE	Vwce
B3GALT2	B3galt2
	Gm25283
PRSS54	Prss54
FBXO30	Fbxo30
LY6G6D	Ly6g6d
PSMB3	Gm4950
DEFB131	Defb43
	Gm22620
EMC3	Emc3
OR2Z1	Olfr373
OR2Z1	Olfr372
POLN	Poln
	Gm26062
SLC45A4	Slc45a4
FAM151A	Fam151a
UROC1	Uroc1
OCLN	Ocln
QSOX2	Qsox2
SOCS4	Socs4
XRCC6BP1	Xrcc6bp1
CCBL2	Ccbl2
RFC5	Rfc5
MAGEB6P1	Mageb2
MAGEB6P1	Gm5072
MAGEB6P1	Gm8914
MAGEB6P1	Mageb1
SYCE1L	Syce1l
LINGO3	Lingo3
TMEM39B	Tmem39b
ST20-MTHFS	Mthfs
LGI2	Lgi2
SNORD58C	Gm26202
SLC1A6	Slc1a6
RN7SKP168	Gm23837
RNU6-898P	Gm24805
GPR84	Gpr84
	Gm26168
CXXC1	Cxxc1
DHH	Dhh
ANKRD34A	Ankrd34a
USP17L21	Usp17le
USP17L21	Usp17lb
CADM1	Cadm1
MYLIP	Mylip
RNU6ATAC21P	Gm24833
IL18BP	Il18bp
NHLRC2	Nhlrc2
CATSPER4	Catsper4
TSGA10	Tsga10
ZNF560	Zfp846
RAC3	Rac3
PEG3	Peg3
UTF1	Utf1
ATP11C	Atp11c
ZNF710	Zfp710
ORM2	Orm2
LLGL1	Llgl1
RNU2-11P	Gm22970
RPL6	Gm5428
RNA5SP412	n-R5s76
SAFB	Safb
HIVEP3	Hivep3
CYB5RL	Cyb5rl
SOWAHC	Sowahc
RNU4-72P	Gm22122
TECR	Tecr
CCDC22	Ccdc22
RNU11-6P	Gm24890
GPX8	Gpx8
KIAA1755	D630003M21Rik
USP17L11	Usp17le
USP17L11	Usp17lb
UTP23	Utp23
IGKV1-8	Igkc
SNORD63	Gm26109
CHAMP1	Champ1
PTDSS1	Ptdss1
NUB1	Nub1
MPHOSPH6	Mphosph6
SYCE2	Syce2
OR5P2	Olfr488
OR5P2	Olfr482
OR5P2	Olfr494
OR5P2	Olfr484
OR5P2	Olfr510
OR5P2	Olfr490
OR5P2	Olfr486
OR5P2	Olfr497
OR5P2	Olfr483
OR5P2	Olfr493
OR5P2	Olfr506
OR5P2	Olfr469
OR5P2	Olfr502
PIK3R2	Pik3r2
CLEC16A	Clec16a
ZNF143	Zfp143
NFATC3	Nfatc3
DSG2	Dsg2
SOX15	Sox15
YLPM1	Ylpm1
RNU6-623P	Gm25886
MT1F	Mt1
MT1F	Mt2
TMEM221	Tmem221
RDH16	Rdh16
RDH16	Rdh19
RDH16	BC089597
RNA5SP89	Gm22340
CHEK1	Chek1
ANKRD55	Ankrd55
ZNF778	Zfp560
NONO	Nono
SNTN	Sntn
RNA5SP414	n-R5s76
CYP26C1	Cyp26c1
RNU4-64P	Gm24141
RNU4-64P	Gm22717
DCXR	Dcxr
ALG12	Alg12
KIFC1	Kifc1
OASL	Oasl1
YKT6	Ykt6
SNORA12	Gm24336
PEX10	Pex10
SNX14	Snx14
C16orf52	BC030336
ADSSL1	Adssl1
SOWAHD	Sowahd
ZDHHC1	Zdhhc1
ITGA10	Itga10
HES7	Hes7
PGA4	Cym
PCDHA7	Pcdha8
PCDHA7	Pcdha7
PCDHA7	Pcdha11
CSPP1	Cspp1
TMEM254	Tmem254a
TNS2	Tns2
TBCA	Tbca
CFAP47	Gm7173
CELA2B	Cela2a
TENM2	Tenm2
ULK3	Ulk3
RN7SL364P	Gm22567
PDE1B	Pde1b
PCDHGA2	Pcdhga2
XBP1	Xbp1
KIAA0895L	4931428F04Rik
ARL2BP	Arl2bp
CCDC116	Ccdc116
TDRP	Tdrp
ANKHD1	Ankhd1
RSPH4A	Rsph4a
CUEDC2	Cuedc2
ETF1	Etf1
COMT	Comt
DACH1	Dach1
ITPKA	Itpka
RNU6-330P	Gm23970
F2RL3	F2rl3
	Gm27845
COL9A1	Col9a1
	Gm27894
B4GALNT1	B4galnt1
LRRC4	Lrrc4
PIFO	Pifo
ADAM11	Adam11
	Gm27502
C1orf158	1700012P22Rik
ZNF419	Zfp954
RNU6-401P	Gm22943
ABCC3	Abcc3
TRAPPC9	Trappc9
IGF2R	Igf2r
GUCA1B	Guca1b
LRRC66	Lrrc66
CAMKV	Camkv
HK3	Hk3
POLL	Poll
LGI3	Lgi3
	Gm27786
	Lppr4
GLCCI1	Glcci1
SCARB1	Scarb1
PRKCH	Prkch
RN7SKP163	Gm26045
FAM192A	Fam192a
NCEH1	Nceh1
HIBADH	Hibadh
ASAH2B	Asah2
PAPD4	Papd4
MURC	Murc
MSX1	Msx1
CRISPLD1	Crispld1
IFNA14	Ifna11
IFNA14	Ifna5
IFNA14	Ifna1
TPRG1	Tprg
RNU6-117P	Gm24388
PPFIA2	Ppfia2
ZNF345	Zfp72
SLC6A12	Slc6a12
RBM38	Rbm38
COA6	Coa6
RBM8A	Rbm8a
RBM8A	B020018G12Rik
EML5	Eml5
FIGF	Figf
SNX19	Snx19
CYFIP2	Cyfip2
IGHV2-70	Ighv8-4
IGHV2-70	Ighv8-5
IGHV2-70	Ighv8-6
MT1H	Mt1
MT1H	Mt2
PTPDC1	Ptpdc1
ZFP1	Zfp1
ANKRD20A4	Gm21119
ANKRD20A4	Poteg
ANKRD20A4	4931423N10Rik
PSME2	Psme2b
PSME2	Psme2
PBLD	Pbld2
MRPS27	Mrps27
CTTNBP2	Cttnbp2
MLX	Mlx
OR1L6	Olfr364-ps1
OR1L6	Olfr365
DIP2C	Dip2c
SLC16A3	Slc16a3
TRDC	Trdc
COMMD5	Commd5
TTC12	Ttc12
	Gm27762
GFOD1	Gfod1
POLR2K	Polr2k
NDRG1	Ndrg1
AKR1C2	Akr1c20
AKR1C2	Akr1c21
AKR1C2	Akr1c14
MYF6	Myf6
ZNF641	Zfp641
ERAS	Eras
KIRREL2	Kirrel2
RN7SL5P	Gm24514
PNLIPRP2	Pnliprp2
HELB	Helb
CRELD1	Creld1
RNU6-858P	Gm25598
PALLD	Palld
	Ptgr2
SPSB1	Spsb1
	Gm27617
CEP170B	Cep170b
DAPK3	Dapk3
	Gm17576
	Gm10479
CCDC121	Ccdc121
LPAR3	Lpar3
RBM48	Rbm48
ROBO3	Robo3
FAM19A4	Fam19a4
EDAR	Edar
CRYBB1	Crybb1
CPSF1	Cpsf1
RN7SKP12	Gm22959
UBAP1L	Ubap1l
RNU6-792P	Gm23926
GOLGA7	Golga7
CD53	Cd53
COMMD9	Commd9
BCL2	Bcl2
ARL6IP1	Arl6ip1
TEX14	Tex14
LARP4B	Larp4b
PON2	Pon2
C16orf87	4921524J17Rik
JOSD1	Josd1
RN7SKP89	Gm22202
ARC	Arc
NDUFA6	Ndufa6
DYNLT1	Dynlt1c
JUND	Jund
MYPOP	Mypop
PCDH7	Pcdh7
SUMO4	Sumo2
OR52W1	Olfr692
SFXN2	Sfxn2
NSMF	Nsmf
SLAMF1	Slamf1
ARID3B	Arid3b
RNU6-1266P	Gm23445
HIVEP1	Hivep1
HSBP1	Hsbp1
ZNF324	Zfp324
ACSL5	Acsl5
SNORD58A	Gm23301
MRPL41	Gm6434
TMPRSS12	Tmprss12
ATP10B	Atp10b
MON1B	Mon1b
WNK3	Wnk3
PRAMEF17	Gm13128
PRAMEF17	Gm13125
PRAMEF17	Pramef12
PRAMEF17	Pramel7
PRAMEF17	Gm7942
C15orf26	1700026D08Rik
TRIM43	Trim43c
TRIM43	Trim43b
TRIM43	Trim43a
B3GALNT2	B3galnt2
LBP	Lbp
OR52N5	Olfr669
BPIFB3	Bpifb3
ESRRG	Esrrg
CYP2D6	Cyp2d34
CYP2D6	Cyp2d26
CYP2D6	Cyp2d12
CYP2D6	Cyp2d22
	Gm27804
HSD11B2	Hsd11b2
DEFB115	Defb28
KLHL26	Klhl26
	Gm27300
PARG	Parg
LYRM4	Lyrm4
FFAR3	Ffar3
TKFC	Tkfc
PVRL1	Pvrl1
SIX4	Six4
	Gm27899
CPNE3	Cpne3
HFM1	Hfm1
CLEC4G	Clec4g
TMEM117	Tmem117
CDY2A	Cdyl
CCNA1	Ccna1
MPLKIP	Mplkip
FASTKD3	Fastkd3
VSIG4	Vsig4
RNU6-361P	Gm24716
COL10A1	Col10a1
MYO19	Myo19
MPP5	Mpp5
THRB	Thrb
NAA30	Naa30
FBXO8	Fbxo8
DNAJB4	Dnajb4
SEMA3E	Sema3e
NXPH2	Nxph2
NUSAP1	Nusap1
CD248	Cd248
SPATS2L	Spats2l
C7orf25	AW209491
PCDHB16	Pcdhb17
	Gm25973
SGK3	Sgk3
SNORD12C	Gm25878
MRPL42	Mrpl42
TULP1	Tulp1
POLR1D	Polr1d
RNU6-73P	Gm25453
MEIS3	Meis3
RN7SKP158	Gm22601
GPR65	Gpr65
STOX2	Stox2
UBA52	Gm11808
SNORD36B	Gm22879
CRHBP	Crhbp
PRAMEF7	Gm13128
PRAMEF7	Gm13125
PRAMEF7	Pramef12
PRAMEF7	Pramel7
PRAMEF7	Gm7942
OAZ3	Oaz3
RPL15	Rpl15
PRDM5	Prdm5
OR1L4	Olfr364-ps1
OR1L4	Olfr365
ADAMTS16	Adamts16
NXNL2	Nxnl2
RNA5SP261	Gm23764
RNA5SP261	n-R5s90
TSPAN8	Tspan8
FAF2	Faf2
RNA5SP212	Gm25961
MYH3	Myh3
ZBBX	Zbbx
	Gm24644
DIRAS2	Diras2
RYR1	Ryr1
UBE2N	Ube2n
MOB2	Mob2
CLPX	Clpx
HSD17B8	H2-Ke6
SULF1	Sulf1
PRRG1	Prrg1
TMEM71	Tmem71
LPCAT2	Lpcat2
UTS2R	Uts2r
TC2N	Tc2n
MRFAP1	Gm5814
MTPN	Mtpn
L2HGDH	L2hgdh
	Gm27702
ZNF286A	Zfp286
LURAP1L	Lurap1l
TESK1	Tesk1
WASF3	Wasf3
USP17L22	Usp17le
USP17L22	Usp17lb
DOCK1	Dock1
FAM133B	Fam133b
C4BPA	Zp3r
RNA5SP411	n-R5s76
PNP	Pnp
PNP	Pnp2
	Gm26175
TBC1D22A	Tbc1d22a
	1810009A15Rik
TRGV2	Tcrg-V7
RNU6-613P	Gm25268
ATP2C2	Atp2c2
RABGAP1L	Rabgap1l
ITIH1	Itih1
KIFC3	Kifc3
CSTF2T	Cstf2t
KIAA2022	C77370
SLC35B3	Slc35b3
NEIL1	Neil1
APOF	Apof
	Gm24401
LYVE1	Lyve1
PLA2G15	Pla2g15
CCDC85B	Ccdc85b
ING4	Ing4
	Gm26329
SYTL4	Sytl4
MEGF8	Megf8
VTI1A	Vti1a
FHL2	Fhl2
TNFAIP8	Tnfaip8
KRTAP10-12	Gm3250
KRTAP10-12	Gm19402
TACC2	Tacc2
SPTBN1	Sptbn1
CDR2L	Cdr2l
PTGR1	Ptgr1
SNORA78	Snora78
ASCL3	Ascl3
CSRNP2	Csrnp2
FAM131A	Fam131a
TMEM181	Tmem181a
CYP2A7	Cyp2a5
KCNH3	Kcnh3
ARSB	Arsb
KLHL32	Klhl32
SEC14L3	Sec14l3
MAGEA6	Magea6
MAGEA6	Magea3
MAGEA6	Magea8
MAGEA6	Magea1
MAGEA6	Magea2
MAGEA6	Magea5
APCDD1	Apcdd1
NEDD4L	Nedd4l
CHGA	Chga
RNA5SP419	n-R5s76
IMMP2L	Immp2l
CD33	Siglech
INCENP	Incenp
YWHAG	Ywhag
SMARCB1	Smarcb1
PRAMEF15	Gm13128
PRAMEF15	Gm13125
PRAMEF15	Pramef12
PRAMEF15	Pramel7
PRAMEF15	Gm7942
TUBB2A	Tubb2a
OR6C74	Olfr821
RNA5SP287	Gm22135
RNA5SP287	Gm22624
RNA5SP287	Gm23863
RNA5SP287	Gm22832
SPRED3	Spred3
POLR1C	Polr1c
E2F6	E2f6
ABCB7	Abcb7
HKDC1	Hkdc1
NOTO	Noto
MVB12A	Mvb12a
PORCN	Porcn
SKIL	Skil
PMP2	Pmp2
RNU6-165P	Gm25886
GRAMD3	Gramd3
CDC45	Cdc45
FRMPD3	Frmpd3
NNMT	Nnmt
SMG7	Smg7
IDH3B	Idh3b
WNT2B	Wnt2b
PRRC2A	Prrc2a
ZNF878	Zfp958
ZNF878	Zfp869
ZNF878	Zfp811
ZNF878	Zfp799
ZNF878	Zfp936
ZNF878	Zfp866
ZNF878	Zfp951
ZNF878	Gm14431
ZNF878	Zfp709
ZNF878	Zfp617
ZNF878	Zfp563
ZNF878	Zfp933
BIRC6	Birc6
CPA1	Cpa1
SLC38A9	Slc38a9
POU2F1	Pou2f1
CYBA	Cyba
PRR7	Prr7
RNA5SP457	Gm24649
METTL13	Mettl13
PBX3	Pbx3
FRRS1	Frrs1
DEFB1	Defb1
BACE1	Bace1
ANP32E	Anp32e
NUTF2	Nutf2
NUTF2	Nutf2-ps1
EZR	Ezr
HARS2	Hars2
RNU6-241P	Gm26062
DEFB128	Defb20
ACOT2	Acot1
TAF7L	Taf7l
RNU6-510P	Gm24384
RNA5SP365	Gm23900
PGPEP1L	Pgpep1l
MAGEA9	Magea6
MAGEA9	Magea3
MAGEA9	Magea8
MAGEA9	Magea1
MAGEA9	Magea2
MAGEA9	Magea5
SALL3	Sall3
FREM1	Frem1
NRSN2	Nrsn2
TSPAN13	Tspan13
TERF1	Terf1
FAM186B	Fam186b
ARHGAP23	Arhgap23
NPC1L1	Npc1l1
BRS3	Brs3
EIF4EBP3	Eif4ebp3
USP17L13	Usp17le
USP17L13	Usp17lb
TEKT2	Tekt2
NCOA4	Ncoa4
MCRS1	Mcrs1
SNORA51	Gm24451
SEC23A	Sec23a
RNU6-791P	Gm26062
