Domain,assoc_id,PLOTS,In Figure 4D,FEATURE,Drug id,Drug name,Drug Target,N_FEATURE_pos,N_FEATURE_neg,log max.Conc.tested,log max.Conc.tested2,FEATUREpos_logIC50_MEAN,FEATUREneg_logIC50_MEAN,FEATURE_deltaMEAN_IC50,FEATUREpos_IC50_sd,FEATUREneg_IC50_sd,FEATURE_IC50_effect_size,FEATUREpos_Glass_delta,FEATUREneg_Glass_delta,FEATURE_ANOVA_pval,Tissue_ANOVA_pval,MEDIA_ANOVA_pval,MSI_ANOVA_pval,FEATURE_FDR
GBM,a9f,WebPage,YES,loss:cnaPANCAN49 (),1248,FK866,NAMPT,3,32,0.0000,NA,1.8858,-3.3643,5.2501,0.9229,2.3234,2.3196,5.69,2.26,5.2619E-04,NA,NA,NA,24.9444
GBM,a9g,WebPage,YES,loss:cnaPANCAN51 (),1248,FK866,NAMPT,3,32,0.0000,NA,1.8858,-3.3643,5.2501,0.9229,2.3234,2.3196,5.69,2.26,5.2619E-04,NA,NA,NA,24.9444
GBM,a9h,WebPage,YES,loss:cnaPANCAN54 (),1248,FK866,NAMPT,3,32,0.0000,NA,1.8858,-3.3643,5.2501,0.9229,2.3234,2.3196,5.69,2.26,5.2619E-04,NA,NA,NA,24.9444
GBM,a9i,WebPage,YES,loss:cnaPANCAN55 (),1248,FK866,NAMPT,3,32,0.0000,NA,1.8858,-3.3643,5.2501,0.9229,2.3234,2.3196,5.69,2.26,5.2619E-04,NA,NA,NA,24.9444
BLCA,a5,WebPage,NO,TP53_mut,133,Doxorubicin,DNA intercalating,15,4,0.0237,NA,-2.6881,0.2206,-2.9086,1.2146,1.4248,2.3191,2.39,2.04,7.1336E-04,NA,NA,NA,24.2195
LGG,a9,WebPage,YES,gain:cnaPANCAN124 (EGFR),266,"Zibotentan, ZD4054",Endothelin A Receptor,5,12,2.9957,NA,5.1478,5.8743,-0.7265,0.2799,0.3251,2.3161,2.60,2.23,5.7014E-04,NA,NA,NA,6.0152
THCA,a3,WebPage,NO,BRAF_mut,263,FR-180204,ERK,7,9,2.9957,NA,4.5126,5.6156,-1.1030,0.3408,0.5571,2.3143,3.24,1.98,4.1858E-04,NA,NA,NA,9.2538
BLCA,a6,WebPage,NO,TP53_mut,135,Gemcitabine,DNA replication,15,4,0.0237,NA,-3.3618,1.4586,-4.8203,2.2052,1.3756,2.3142,2.19,3.50,7.2685E-04,NA,NA,NA,24.2195
COAD/READ,a23,WebPage,NO,CDK12_mut,274,"PXD101, Belinostat",HDAC,3,41,2.9957,NA,2.5424,-0.0143,2.5568,3.4304,0.8365,2.3083,0.75,3.06,2.1420E-04,NA,NA,2.0161E-02,17.2573
PANCAN,a39,WebPage,NO,loss:cnaPANCAN102 (),1230,IOX2,EGLN1,6,920,-2.3026,NA,-1.6846,-0.0529,-1.6317,2.3484,0.6874,2.3082,0.69,2.37,5.5316E-08,2.9949E-10,1.0371E-01,4.6185E-01,0.0234
PANCAN,a71,WebPage,NO,CDKN1B_mut,277,ABT-869,VEGFR and PDGFR family,6,915,0.0237,NA,0.1014,2.2986,-2.1973,2.9793,0.9290,2.3076,0.74,2.37,3.0048E-06,6.1428E-27,3.3045E-01,9.5153E-01,0.6835
PANCAN,a201,WebPage,NO,BCR-ABL_fusion,159,HG-6-64-1,"BRAFV600E, TAK, MAP4K5",5,872,1.6332,NA,-2.7567,1.0199,-3.7766,1.2456,1.6407,2.3040,3.03,2.30,8.5261E-05,6.5329E-26,2.0029E-02,1.3367E-01,7.0035
LGG,a10,WebPage,YES,gain:cnaPANCAN124 (EGFR),1495,AZD-2281,"PARP1, PARP2",5,12,2.3026,NA,2.3029,4.1976,-1.8946,0.6097,0.8873,2.3036,3.11,2.14,5.9750E-04,NA,NA,NA,6.0152
PANCAN,a25,WebPage,NO,ASXL1_mut,1013,Nilotinib,ABL,16,784,0.6931,NA,-0.2698,2.7097,-2.9795,3.2409,1.2267,2.3029,0.92,2.43,1.1394E-09,2.2692E-38,7.7276E-01,2.0343E-01,0.0008
COAD/READ,a2,WebPage,NO,BRAF_mut,1371,PLX4720 (rescreen),BRAF,10,36,2.3026,NA,3.0021,4.9283,-1.9262,1.2642,0.6865,2.2992,1.52,2.81,1.2094E-07,NA,NA,5.4457E-01,0.1123
COAD/READ,a9,WebPage,YES,MAP2K4_mut,326,GSK690693,AKT,5,41,2.3263,NA,1.7489,4.3854,-2.6365,1.6331,1.0866,2.2983,1.61,2.43,1.8868E-05,NA,NA,2.4804E-01,3.8942
SKCM,a1,WebPage,NO,BRAF_mut,1373,Dabrafenib,BRAF,35,10,2.3026,NA,-2.1744,2.9802,-5.1546,2.3981,1.5639,2.2917,2.15,3.30,9.8582E-08,NA,NA,NA,0.0468
LAML,a3,WebPage,YES,NRAS_mut,306,TG101348,JAK2,7,19,2.3263,NA,1.3960,-0.7814,2.1774,0.7859,1.0229,2.2469,2.77,2.13,5.6741E-05,NA,NA,3.6804E-02,2.3073
GBM,a3,WebPage,YES,"loss:cnaPANCAN44 (BMPR1A,FAS,PTEN)",200,LAQ824,HDAC,4,26,0.0237,NA,-0.6774,-2.2367,1.5593,0.3590,0.7256,2.2416,4.34,2.15,2.6336E-04,NA,NA,NA,24.9444
KIRC,a2,WebPage,YES,NF2_mut,1373,Dabrafenib,BRAF,5,23,2.3026,NA,0.2406,2.9501,-2.7095,1.4797,1.1568,2.2354,1.83,2.34,1.1615E-04,NA,NA,NA,20.4879
PANCAN,a136,WebPage,NO,RPGR_mut,268,YM155,BIRC5 (Survivin),4,884,1.6332,NA,1.5740,-3.7175,5.2915,2.2358,2.3684,2.2346,2.37,2.23,2.9701E-05,1.7431E-09,2.0894E-01,3.9472E-01,3.6058
BRCA,a30,WebPage,YES,ASH1L_mut,167,OSU-03012,PDPK1 (PDK1),3,45,2.7726,NA,0.0620,2.3937,-2.3317,1.2700,1.0331,2.2325,1.84,2.26,5.0254E-04,NA,NA,NA,19.3965
PANCAN,a152,WebPage,NO,TCF4_mut,1028,VX-702,p38,3,841,0.6931,NA,1.0238,2.8937,-1.8698,2.6541,0.8409,2.2004,0.70,2.22,4.0548E-05,4.2095E-37,4.6617E-01,9.0922E-01,4.4045
COAD/READ,a18,WebPage,NO,ASXL2_mut,274,"PXD101, Belinostat",HDAC,4,40,2.9957,NA,2.3221,-0.0562,2.3784,2.6750,0.8438,2.1967,0.89,2.82,1.2674E-04,NA,NA,1.8775E-02,12.1997
PANCAN,a62,WebPage,NO,GNAS_mut,1264,SGC0946,Q8TEK3 (DOT1L),3,904,-0.6931,NA,0.5000,1.7396,-1.2396,1.7087,0.5638,2.1789,0.73,2.20,2.1586E-06,4.1800E-24,3.1107E-02,6.7329E-03,0.5748
BRCA,a11,WebPage,YES,"gain:cnaPANCAN362 (CRNKL1,FOXA2)",180,Thapsigargin,sarco-endoplasmic reticulum Ca2+-ATPases,4,41,-0.6694,NA,0.6168,-3.8865,4.5033,2.0138,2.0748,2.1748,2.24,2.17,1.5319E-04,NA,NA,NA,16.0829
COAD/READ,a20,WebPage,YES,"gain:cnaPANCAN362 (CRNKL1,FOXA2)",1011,ABT-263,"BCL2, BCL2L1, BCL2L2",5,36,0.6931,NA,-0.1320,2.3955,-2.5275,0.9716,1.1846,2.1703,2.60,2.13,1.3135E-04,NA,NA,1.5072E-01,12.1997
LUAD,a8,WebPage,NO,EGFR_mut,263,FR-180204,ERK,5,56,2.9957,NA,3.5696,5.2415,-1.6718,0.8559,0.7641,2.1694,1.95,2.19,1.9307E-05,NA,NA,NA,2.0801
GBM,a6,WebPage,YES,"loss:cnaPANCAN44 (BMPR1A,FAS,PTEN)",136,Mitomycin C,DNA crosslinker,4,26,2.7726,NA,1.7982,-0.6685,2.4667,0.9631,1.1615,2.1602,2.56,2.12,3.9604E-04,NA,NA,NA,24.9444
PANCAN,a119,WebPage,NO,DHX15_mut,197,Bryostatin 1,PRKC,4,863,-4.8283,NA,-4.7147,-2.8714,-1.8433,1.5433,0.8505,2.1589,1.19,2.17,1.9466E-05,2.6571E-06,1.2464E-01,8.6834E-01,2.7008
BRCA,a8,WebPage,YES,loss:cnaPANCAN200 (),1011,ABT-263,"BCL2, BCL2L1, BCL2L2",5,38,0.6931,NA,-0.9371,2.0266,-2.9636,1.8117,1.3205,2.1535,1.64,2.24,5.0648E-05,NA,NA,NA,7.3306
LAML,a4,WebPage,YES,NRAS_mut,290,KIN001-260,IKK,7,18,2.9957,NA,3.9640,2.3252,1.6387,0.9220,0.7059,2.1332,1.78,2.32,1.3743E-04,NA,NA,8.0339E-02,2.9187
PANCAN,a91,WebPage,NO,TJP2_mut,1114,Cetuximab,EGFR,4,866,4.1866,NA,3.8594,5.9941,-2.1347,3.6145,0.9816,2.1290,0.59,2.17,7.7855E-06,3.7891E-10,8.9816E-02,8.6883E-01,1.4126
LAML,a5,WebPage,YES,NRAS_mut,190,Bleomycin,DNA damage,7,18,4.1589,NA,3.8929,0.5619,3.3310,0.7821,1.7633,2.1248,4.26,1.89,1.4580E-04,NA,NA,9.1251E-02,2.9187
HNSC,a1,WebPage,YES,FAT1_mut,1218,JQ1,"BRD2, BRD3, BRD4",6,32,0.0000,NA,0.8119,2.2102,-1.3983,0.7229,0.6487,2.1203,1.93,2.16,3.0644E-05,NA,NA,NA,15.4219
PANCAN,a60,WebPage,NO,INPP4A_mut,1230,IOX2,EGLN1,5,921,-2.3026,NA,-1.5592,-0.0553,-1.5039,2.8592,0.6866,2.1168,0.53,2.19,1.3720E-06,3.8222E-10,1.0591E-01,4.6340E-01,0.3775
LAML,a7,WebPage,YES,NRAS_mut,178,BAY 61-3606,SYK,7,18,2.0794,NA,2.8558,0.4908,2.3650,1.2887,1.0610,2.1024,1.84,2.23,1.6748E-04,NA,NA,2.8473E-01,2.9187
BLCA,a7,WebPage,YES,ARID1A_mut,305,TPCA-1,IKK,5,14,2.9957,NA,5.3103,2.9363,2.3741,0.7385,1.2271,2.0986,3.21,1.93,8.7245E-04,NA,NA,NA,24.2195
PANCAN,a476,WebPage,NO,SOS2_mut,104,Bortezomib,Proteasome,4,397,-3.9120,NA,-2.5207,-5.7050,3.1843,1.3827,1.5194,2.0971,2.30,2.10,6.4720E-04,1.4537E-08,1.8334E-02,3.0470E-03,22.4193
LAML,a6,WebPage,YES,NRAS_mut,157,JNK-9L,JNK,7,19,1.6332,NA,0.1032,-0.9549,1.0580,0.5896,0.4728,2.0970,1.79,2.24,1.4707E-04,NA,NA,1.0402E-01,2.9187
BLCA,a8,WebPage,YES,ARID1A_mut,228,KIN001-102,AKT1,5,14,2.3263,NA,4.7971,2.8302,1.9669,0.6091,1.0254,2.0834,3.23,1.92,9.2938E-04,NA,NA,NA,24.2195
PANCAN,a123,WebPage,NO,CDKN1B_mut,271,VNLG/124,"HDAC, RAR ",6,910,1.6332,NA,1.8032,3.7986,-1.9954,2.1634,0.9508,2.0751,0.92,2.10,2.1301E-05,7.1927E-67,4.5542E-01,2.2263E-01,2.8594
LAML,a9,WebPage,YES,NRAS_mut,177,GSK-650394,SGK3,7,17,2.7726,NA,4.1948,1.5190,2.6758,0.8800,1.4136,2.0740,3.04,1.89,2.3573E-04,NA,NA,2.3934E-01,3.0165
PANCAN,a80,WebPage,NO,HLA-B_mut,206,Ruxolitinib,"JAK1, JAK2, TYK2",5,917,1.6563,0.0237,2.0503,3.9909,-1.9406,3.4567,0.9103,2.0723,0.56,2.13,4.1472E-06,3.4488E-50,7.9563E-01,8.8514E-01,0.8559
ESCA,a1,WebPage,YES,loss:cnaPANCAN368 (),275,I-BET-762,"BRD2, BRD3, BRD4",6,29,2.9957,NA,2.3535,4.5937,-2.2403,1.5280,0.9821,2.0693,1.47,2.28,5.7290E-05,NA,NA,NA,8.3627
PANCAN,a253,WebPage,NO,gain:cnaPANCAN345 (),1143,HG-5-88-01,"EGFR, ADCK4",6,487,2.3026,NA,0.7452,3.2601,-2.5149,1.8185,1.2195,2.0496,1.38,2.06,1.5735E-04,3.0643E-10,9.8312E-01,1.2913E-01,10.2414
PANCAN,a4,WebPage,NO,BRAF_mut,1371,PLX4720 (rescreen),BRAF,81,834,2.3026,NA,2.0583,4.1780,-2.1197,1.7396,0.9435,2.0421,1.22,2.25,1.1734E-29,3.7888E-58,4.3346E-02,1.5153E-01,0.0000
PANCAN,a248,WebPage,NO,HGF_mut,1024,CEP-701,"FLT3, JAK2, NTRK1, RET",4,842,0.6931,NA,2.4255,-0.6369,3.0624,1.4854,1.5012,2.0401,2.06,2.04,1.5435E-04,4.8067E-28,3.7958E-01,9.0539E-02,10.1873
BRCA,a6,WebPage,YES,loss:cnaPANCAN389 (RB1),206,Ruxolitinib,"JAK1, JAK2, TYK2",6,43,1.6563,0.0237,3.4001,4.5056,-1.1055,0.8510,0.4955,2.0306,1.30,2.23,2.6326E-05,NA,NA,NA,5.0804
PANCAN,a26,WebPage,NO,EWSR1-FLI1_fusion,1259,BMN-673,PARP1,18,894,2.3026,NA,-1.4751,2.1837,-3.6588,2.3979,1.8001,2.0179,1.53,2.03,1.5448E-09,4.9001E-19,1.3881E-01,1.9252E-03,0.0010
PANCAN,a295,WebPage,NO,HGF_mut,1022,AZD7762,"CHEK1, CHEK2",4,842,0.6931,NA,2.5360,-0.4777,3.0137,0.2938,1.5030,2.0086,10.26,2.01,2.2647E-04,1.1322E-32,3.4772E-04,4.3698E-01,12.6401
PANCAN,a53,WebPage,NO,loss:cnaPANCAN297 (),333,T0901317,LXR,4,910,2.3263,NA,2.2095,4.3305,-2.1210,2.4526,1.0524,2.0009,0.86,2.02,6.1468E-07,1.9820E-69,4.5254E-02,1.5179E-01,0.1915
LAML,a10,WebPage,YES,NRAS_mut,134,Etoposide,TOP2,7,19,2.7726,NA,2.9161,0.1135,2.8026,1.6278,1.3234,1.9937,1.72,2.12,2.4727E-04,NA,NA,3.5935E-01,3.0165
PANCAN,a412,WebPage,NO,BCR-ABL_fusion,37,Crizotinib,"MET, ALK",5,402,0.6931,NA,0.1870,2.4093,-2.2222,0.9861,1.1159,1.9936,2.25,1.99,4.9592E-04,4.9714E-11,4.8795E-01,6.0421E-01,19.8735
BRCA,a25,WebPage,YES,CDH1_mut,150,Bicalutamide,ANDR (androgen receptor),4,44,0.0237,NA,1.7673,2.8531,-1.0857,0.4051,0.5569,1.9801,2.68,1.95,4.3436E-04,NA,NA,NA,19.2983
PANCAN,a282,WebPage,NO,ZFP36L2_mut,9,MG-132,Proteasome,3,397,0.0000,NA,2.6811,-0.1890,2.8700,0.3368,1.4580,1.9731,8.52,1.97,2.0210E-04,1.4119E-07,1.8484E-03,1.5892E-02,11.8325
LAML,a12,WebPage,YES,NRAS_mut,133,Doxorubicin,DNA intercalating,7,18,0.0237,NA,-0.2396,-2.4675,2.2278,1.4938,0.9816,1.9582,1.49,2.27,3.2958E-04,NA,NA,5.0988E-01,3.2329
PANCAN,a407,WebPage,NO,EWSR1-X_fusion,304,SB52334,ALK5,5,913,2.9957,NA,1.7710,4.2324,-2.4613,1.3650,1.2596,1.9533,1.80,1.95,4.8834E-04,7.0124E-23,1.2939E-02,5.2663E-01,19.7907
BRCA,a5,WebPage,YES,"gain:cnaPANCAN393 (FOXA1,NKX2-1,PSMA6)",159,HG-6-64-1,"BRAFV600E, TAK, MAP4K5",7,39,1.6332,NA,4.0890,1.5503,2.5388,1.1192,1.3333,1.9437,2.27,1.90,2.3007E-05,NA,NA,NA,5.0804
SKCM,a4,WebPage,YES,NRAS_mut,1373,Dabrafenib,BRAF,8,37,2.3026,NA,2.9648,-1.8924,4.8571,1.3884,2.6642,1.9419,3.50,1.82,1.0792E-05,NA,NA,NA,1.2807
PANCAN,a5,WebPage,NO,BRAF_mut,1036,PLX4720,BRAF,69,776,2.3026,NA,1.7722,3.9986,-2.2264,1.9212,1.0534,1.9394,1.16,2.11,1.0106E-22,1.1828E-45,5.7359E-01,7.0443E-01,0.0000
PANCAN,a302,WebPage,NO,PGR_mut,1016,Temsirolimus,MTOR,3,832,-1.6094,NA,-5.1732,-2.0313,-3.1419,3.3790,1.6166,1.9357,0.93,1.94,2.4468E-04,1.2932E-21,3.7411E-01,1.5305E-01,13.3769
PANCAN,a6,WebPage,NO,BRAF_mut,1061,SB590885,BRAF,65,761,1.6094,NA,1.8065,3.7834,-1.9768,1.9395,0.9112,1.9219,1.02,2.17,6.3514E-18,6.2123E-44,1.4120E-03,8.7406E-01,0.0000
PANCAN,a240,WebPage,NO,U2AF1_mut,249,XL-184,"VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, Tie2,AXL",5,914,1.6332,NA,0.1720,2.7000,-2.5280,3.7365,1.2990,1.9160,0.68,1.95,1.3474E-04,1.2414E-26,2.4753E-01,2.8944E-01,9.2695
PANCAN,a135,WebPage,NO,CDKN1B_mut,1029,AMG-706,"VEGFR, RET, c-KIT, PDGFR",5,841,0.6931,NA,0.9646,2.6866,-1.7220,3.9676,0.8664,1.8996,0.43,1.99,2.9002E-05,1.6106E-07,2.8758E-01,6.4504E-01,3.5470
PANCAN,a187,WebPage,NO,TBX3_mut,272,AR-42,HDAC,4,906,1.6332,NA,2.9615,-0.2848,3.2463,3.0186,1.7056,1.8967,1.08,1.90,6.8225E-05,2.5128E-33,5.2160E-01,6.3403E-01,6.0237
PANCAN,a147,WebPage,NO,HRAS_mut,94,TGX221,PI3Kbeta,3,397,2.3026,NA,1.6785,3.8362,-2.1578,3.5767,1.1133,1.8944,0.60,1.94,3.6234E-05,8.9587E-14,3.7018E-01,6.6504E-01,4.0556
LAML,a16,WebPage,YES,NRAS_mut,238,CAL-101,PI3Kdelta,7,19,2.9957,2.3263,3.9908,2.0903,1.9004,1.1185,0.9687,1.8849,1.70,1.96,4.5094E-04,NA,NA,5.2141E-02,3.3084
COAD/READ,a13,WebPage,NO,BRAF_mut,1373,Dabrafenib,BRAF,8,37,2.3026,NA,1.6665,4.1274,-2.4610,2.1517,1.0737,1.8771,1.14,2.29,4.1492E-05,NA,NA,5.9239E-02,5.9288
LAML,a21,WebPage,YES,NRAS_mut,309,Y-39983,ROCK,7,18,2.9957,NA,4.1211,2.0480,2.0731,0.9384,1.1573,1.8771,2.21,1.79,5.7096E-04,NA,NA,2.1481E-01,3.3168
LAML,a14,WebPage,YES,NRAS_mut,302,PI-103,"PI3Ka, PRKDC (DNAPK)",7,19,2.3263,NA,0.5945,-2.2446,2.8392,1.8531,1.3809,1.8767,1.53,2.06,3.9769E-04,NA,NA,1.6485E-02,3.3084
PANCAN,a21,WebPage,NO,EWSR1-FLI1_fusion,1495,AZD-2281,"PARP1, PARP2",18,885,2.3026,NA,1.7532,3.6567,-1.9036,1.1701,1.0124,1.8744,1.63,1.88,5.1548E-10,1.8044E-17,3.6259E-01,1.1757E-03,0.0004
PANCAN,a200,WebPage,NO,IREB2_mut,1018,ABT-888,"PARP1, PARP2",4,843,1.6094,NA,2.5811,3.9172,-1.3361,1.3823,0.7134,1.8638,0.97,1.87,8.3485E-05,8.3102E-19,4.4698E-01,2.3534E-01,6.8920
LAML,a19,WebPage,YES,NRAS_mut,194,AUY922,HSP90,7,18,-1.3626,NA,-2.6708,-4.1436,1.4728,0.9617,0.7202,1.8636,1.53,2.05,5.5673E-04,NA,NA,4.7986E-02,3.3168
LAML,a18,WebPage,YES,NRAS_mut,35,NVP-TAE684,ALK,7,19,0.6931,NA,1.4566,-0.5372,1.9938,1.1048,1.0622,1.8582,1.80,1.88,5.4765E-04,NA,NA,2.4953E-01,3.3168
LAML,a23,WebPage,YES,NRAS_mut,310,YM201636,FYV1,7,18,1.6332,NA,1.9598,0.7011,1.2587,0.9847,0.5293,1.8558,1.28,2.38,6.4112E-04,NA,NA,2.0220E-01,3.3601
SKCM,a8,WebPage,YES,ARID2_mut,185,OSI-906,IGF1R,5,45,0.9400,NA,0.1526,2.2978,-2.1451,1.0859,1.1733,1.8393,1.98,1.83,2.9709E-04,NA,NA,NA,17.6277
PANCAN,a164,WebPage,NO,NFE2L2_mut,94,TGX221,PI3Kbeta,3,397,2.3026,NA,1.7404,3.8358,-2.0954,3.7287,1.1117,1.8382,0.56,1.88,5.2351E-05,9.6733E-14,3.7120E-01,6.6534E-01,5.2281
BRCA,a10,WebPage,YES,gain:cnaPANCAN124 (EGFR),1114,Cetuximab,EGFR,6,39,4.1866,NA,5.0978,6.4649,-1.3670,1.3269,0.6313,1.8318,1.03,2.17,1.4163E-04,NA,NA,NA,16.0829
LAML,a22,WebPage,YES,NRAS_mut,152,CP466722,ATM,7,19,2.7726,NA,2.0012,0.6204,1.3809,0.7802,0.7454,1.8308,1.77,1.85,6.0430E-04,NA,NA,3.7801E-01,3.3509
BRCA,a27,WebPage,YES,PTEN_mut,1030,KU-55933,ATM,5,37,2.3026,NA,2.9444,4.3950,-1.4506,0.5143,0.8215,1.8220,2.82,1.77,4.5000E-04,NA,NA,NA,19.2983
PANCAN,a269,WebPage,NO,HGF_mut,268,YM155,BIRC5 (Survivin),5,883,1.6332,NA,0.6026,-3.7180,4.3206,3.6636,2.3650,1.8212,1.18,1.83,1.7966E-04,1.9879E-09,2.1076E-01,3.9566E-01,11.0270
COAD/READ,a12,WebPage,NO,gain:cnaPANCAN91 (MYC),1375,Temozolomide,DNA akylating agent,6,41,3.4012,NA,5.1453,6.1427,-0.9974,1.0969,0.4326,1.8211,0.91,2.31,4.0092E-05,NA,NA,5.7896E-01,5.9288
PANCAN,a14,WebPage,NO,FLT3_mut,277,ABT-869,VEGFR and PDGFR family,11,910,0.0237,NA,0.5848,2.3049,-1.7201,3.4139,0.8858,1.8102,0.50,1.94,1.5035E-10,1.1898E-27,3.1904E-01,9.5100E-01,0.0002
LAML,a24,WebPage,YES,NRAS_mut,253,XMD14-99,"EPHB3, CAMK1",7,19,2.3263,NA,4.0047,2.6485,1.3561,0.9012,0.6936,1.8059,1.50,1.96,6.6105E-04,NA,NA,4.7264E-01,3.3601
BRCA,a26,WebPage,YES,"gain:cnaPANCAN362 (CRNKL1,FOXA2)",140,Vinorelbine,Microtubules,5,42,-2.7489,NA,-1.2831,-3.8756,2.5925,1.3268,1.4549,1.7954,1.95,1.78,4.3847E-04,NA,NA,NA,19.2983
COAD/READ,a26,WebPage,YES,"loss:cnaPANCAN144 (BNC2,CDKN2A,JAK2,PSIP1)",1014,RDEA119,"MAP2K1 (MEK1), MAP2K2 (MEK2)",5,35,1.6094,NA,2.0994,-0.2066,2.3060,1.4700,1.2616,1.7944,1.57,1.83,3.2185E-04,NA,NA,2.4320E-01,22.9945
SKCM,a2,WebPage,NO,TP53_mut,1047,Nutlin-3a,MDM2,14,29,2.0794,1.3863,3.8555,2.1006,1.7549,0.8264,1.0410,1.7942,2.12,1.69,2.1254E-06,NA,NA,NA,0.5044
BRCA,a28,WebPage,YES,"gain:cnaPANCAN362 (CRNKL1,FOXA2)",1375,Temozolomide,DNA akylating agent,5,41,3.4012,NA,6.8750,5.7812,1.0937,0.7145,0.6002,1.7888,1.53,1.82,4.7397E-04,NA,NA,NA,19.3965
BRCA,a24,WebPage,YES,gain:cnaPANCAN130 (RHEB),235,QL-XII-47,"BTK, BMX",5,44,2.3263,NA,3.8375,1.4661,2.3714,1.1600,1.3407,1.7880,2.04,1.77,4.3012E-04,NA,NA,NA,19.2983
BRCA,a29,WebPage,YES,"gain:cnaPANCAN362 (CRNKL1,FOXA2)",201,Epothilone B,Microtubules,5,43,-3.4420,NA,-1.7126,-4.5292,2.8166,1.4773,1.6022,1.7695,1.91,1.76,5.0083E-04,NA,NA,NA,19.3965
BRCA,a31,WebPage,YES,"gain:cnaPANCAN362 (CRNKL1,FOXA2)",1268,XAV 939,TNKS1 (tankyrase-1),5,42,1.6094,NA,4.9671,3.5060,1.4611,0.7928,0.8303,1.7667,1.84,1.76,5.2722E-04,NA,NA,NA,19.6925
COAD/READ,a22,WebPage,YES,ARID2_mut,326,GSK690693,AKT,7,39,2.3263,NA,2.3168,4.4186,-2.1019,1.7887,1.0694,1.7614,1.18,1.97,1.7659E-04,NA,NA,2.7140E-01,14.9100
OV,a4,WebPage,NO,TP53_mut,1047,Nutlin-3a,MDM2,23,10,2.0794,1.3863,4.3914,2.2671,2.1243,1.1331,1.3752,1.7579,1.87,1.54,1.3080E-05,NA,NA,6.0532E-02,3.1028
BRCA,a32,WebPage,YES,"gain:cnaPANCAN362 (CRNKL1,FOXA2)",167,OSU-03012,PDPK1 (PDK1),5,43,2.7726,NA,3.8889,2.0572,1.8317,1.3108,1.0186,1.7491,1.40,1.80,5.7111E-04,NA,NA,NA,20.6651
LAML,a8,WebPage,NO,TP53_mut,11,Paclitaxel,Microtubules,13,13,-2.2789,NA,-2.1812,-4.4205,2.2393,1.7189,0.6287,1.7303,1.30,3.56,1.9381E-04,NA,NA,2.8898E-01,2.9554
PANCAN,a47,WebPage,NO,TET2_mut,271,VNLG/124,"HDAC, RAR ",18,898,1.6332,NA,2.1778,3.8178,-1.6399,2.3953,0.8983,1.7299,0.68,1.83,1.8165E-07,1.5298E-67,4.4986E-01,2.2024E-01,0.0638
BRCA,a38,WebPage,YES,"gain:cnaPANCAN362 (CRNKL1,FOXA2)",1020,Lenalidomide,TNFA,5,40,1.6094,NA,5.2153,4.1347,1.0806,0.7710,0.6093,1.7259,1.40,1.77,7.3012E-04,NA,NA,NA,22.2474
LAML,a15,WebPage,YES,NRAS_mut,71,Pyrimethamine,Dihydrofolate reductase (DHFR),7,19,2.9957,NA,4.8407,2.7844,2.0563,0.5190,1.3427,1.7258,3.96,1.53,4.4548E-04,NA,NA,5.2313E-01,3.3084
PANCAN,a298,WebPage,NO,FAT2_mut,71,Pyrimethamine,Dihydrofolate reductase (DHFR),5,396,2.9957,NA,1.1508,3.6636,-2.5128,1.3386,1.4589,1.7237,1.88,1.72,2.3816E-04,1.7441E-09,2.3725E-20,8.7626E-01,13.1954
LAML,a13,WebPage,NO,TP53_mut,133,Doxorubicin,DNA intercalating,12,13,0.0237,NA,-0.8158,-2.7925,1.9768,1.4116,0.8408,1.7194,1.40,2.35,3.4452E-04,NA,NA,5.1068E-01,3.2329
BRCA,a40,WebPage,YES,loss:cnaPANCAN389 (RB1),1011,ABT-263,"BCL2, BCL2L1, BCL2L2",5,38,0.6931,NA,-0.5475,1.9753,-2.5228,1.5237,1.4617,1.7188,1.66,1.73,8.1886E-04,NA,NA,NA,23.7039
PANCAN,a260,WebPage,NO,CHEK2_mut,200,LAQ824,HDAC,5,868,0.0237,NA,-0.7062,-2.7868,2.0806,2.1542,1.2061,1.7164,0.97,1.73,1.6649E-04,6.3844E-14,3.0061E-02,8.7231E-01,10.5722
PANCAN,a506,WebPage,NO,NR4A2_mut,89,Parthenolide,NFKB1,3,399,1.6094,NA,0.9064,2.9805,-2.0741,0.7541,1.2104,1.7162,2.75,1.71,7.3792E-04,2.6105E-07,1.2447E-02,8.9458E-01,24.0781
BRCA,a18,WebPage,YES,loss:cnaPANCAN389 (RB1),312,AV-951,VEGFR,6,42,-2.0557,NA,-0.2070,0.7522,-0.9592,0.7742,0.5273,1.7146,1.24,1.82,2.8472E-04,NA,NA,NA,18.3154
PANCAN,a57,WebPage,NO,USP6_mut,1264,SGC0946,Q8TEK3 (DOT1L),8,899,-0.6931,NA,0.7748,1.7440,-0.9692,1.2263,0.5579,1.7120,0.79,1.74,1.1739E-06,3.8116E-24,3.0922E-02,6.6963E-03,0.3400
PANCAN,a360,WebPage,NO,BCR-ABL_fusion,55,A-770041,SRC family,5,396,1.6332,NA,-0.8729,2.0963,-2.9692,1.1143,1.7589,1.6932,2.66,1.69,3.6495E-04,2.3362E-07,5.6610E-01,5.9411E-01,16.6287
