human	mouse
E9PJ03	Q8VBU5
E9PJ04	Q3UJB0
E9PJ05	Q9D0U6
E9PJ06	Q99LI7
E9PJ07	E9Q9F9
E9PJ09	A2AGX3
E9PJ10	E9PYF4
E9PJ11	Q8BHS8
E9PJ12	B2KF05
E9PJ14	Q8C0D7
E9PJ15	Q8CFJ7
E9PJ16	Q4VA36
E9PJ19	P70302
E9PJ20	E9PUK2
E9PJ21	Q9JKR6
E9PJ24	A6H619
E9PJ26	Q3ZB57
E9PJ27	O88554
E9PJ28	Q3V3N7
E9PJ29	Q8QZR4
E9PJ30	Q08297
E9PJ31	Q0VE82
E9PJ32	P37804
E9PJ33	Q99JB8
E9PJ34	O88623
E9PJ35	Q9CPW5
E9PJ36	Q3UVL4
E9PJ38	Q9D0V7
E9PJ40	Q9D0V7
E9PJ42	Q8K1A5
E9PJ43	Q8CCG1
E9PJ44	Q91YP3
E9PJ45	P40237
E9PJ46	Q8R0U9
E9PJ47	Q9DB43
E9PJ48	Q9CQI4
E9PJ49	P56481
E9PJ50	Q3US17
E9PJ52	Q61069
E9PJ53	Q9CZR2
E9PJ54	O88455
E9PJ55	Q8BTG3
E9PJ58	Q3U3V8
E9PJ59	P40237
E9PJ60	Q9JJY4
E9PJ61	G5E8V5
E9PJ62	P07742
E9PJ63	K4DI67
E9PJ65	P28571
E9PJ66	Q8R179
E9PJ67	P10605
E9PJ68	G3X8X3
E9PJ70	Q9D6Y7
E9PJ72	P04370
E9PJ73	Q8R1H8
E9PJ74	Q11011
E9PJ75	Q99JB8
E9PJ77	A8DIL0
E9PJ78	Q2TVW7
E9PJ78	Q99N08
E9PJ78	Q99N09
E9PJ79	Q3USF0
E9PJ80	E9PXZ2
E9PJ81	Q922Y1
E9PJ82	E9PVR2
E9PJ83	E9Q4S7
E9PJ84	A0A0R4J1E2
E9PJ86	B2RT89
E9PJ86	Q76M72
E9PJ86	Q8BWG6
E9PJ86	Q8VCA0
E9PJ86	Q91WJ2
E9PJ86	Q96LX3
E9PJ87	Q3V0C5
E9PJ89	Q8BGR2
E9PJ90	Q69ZS7
E9PJ91	A0A0R4J242
E9PJ92	E9Q696
E9PJ93	Q3V0C5
E9PJ94	Q8R2Q0
E9PJ95	Q8K2Q0
E9PJ96	A0A087WPA7
E9PJ97	Q8VDZ4
E9PJA0	O35711
E9PJA1	Q80ZE3
E9PJA2	P07141
E9PJA3	Q8K1K9
E9PJA5	P70428
E9PJA6	O35350
E9PJA7	Q8K019
E9PJA8	P70353
E9PJB0	Q8BML1
E9PJB2	D3YU13
E9PJB2	Q9DD02
E9PJB3	O70138
E9PJB5	Q9R1A8
E9PJB6	L7N1X4
E9PJB6	Q6P5C7
E9PJB6	Q7M6X3
E9PJB6	Q8BIN6
E9PJB6	Q91W94
E9PJB7	P40237
E9PJB9	Q91YP3
E9PJC0	O70274
E9PJC1	Q9D8F3
E9PJC2	Q3UME2
E9PJC3	Q924W7
E9PJC4	Q9DBU0
E9PJC5	A0A087WR59
E9PJC6	E9Q616
E9PJC7	P40237
E9PJC8	O35566
E9PJC9	Q5BKQ4
E9PJD0	A0A0R4J1E2
E9PJD1	Q7TML3
E9PJD2	A0A0R4J093
E9PJD4	Q8R2Q0
E9PJD7	H3BIV6
E9PJD8	G5E8R4
E9PJE1	Q6PIJ4
E9PJE2	Q3ZB57
E9PJE4	A0A0R4J0U7
E9PJE6	G5E833
E9PJE7	Q9DCT2
E9PJE8	O35566
E9PJF0	Q63844
E9PJF1	A0A087WPA7
E9PJF2	O70230
E9PJF3	P97872
E9PJF4	Q923F1
E9PJF5	Q99N20
E9PJF6	Q9DBT5
E9PJF7	P63028
E9PJF8	G5E884
E9PJF9	Q11011
E9PJG0	Q9CWS4
E9PJG1	Q4PZA2
E9PJG2	Q6PIJ4
E9PJG3	E9QPW4
E9PJG4	P53798
E9PJG7	P56818
E9PJG8	Q8VC30
E9PJH3	Q8CDK2
E9PJH4	P62908
E9PJH5	Q3V0C5
E9PJH6	Q9CR25
E9PJH7	Q9D6M3
E9PJH8	P19324
E9PJH9	E9Q4S3
E9PJI0	D3Z482
E9PJI1	Q8CHK4
E9PJI2	Q8CIE4
E9PJI3	P97325
E9PJI4	O35280
E9PJI6	Q8VBU8
E9PJI7	Q9WTX4
E9PJI9	Q8BW49
E9PJJ0	Q8C5W3
E9PJJ2	Q78ZA7
E9PJJ3	O35350
E9PJJ4	Q80UL9
E9PJJ5	B2RTJ2
E9PJJ8	O54962
E9PJJ9	G3X9I6
E9PJK0	A0A0R4J225
E9PJK1	P35762
E9PJK2	Q921E6
E9PJK3	G3X9L9
E9PJK4	B2RQE8
E9PJK5	A0A1C7CYU5
E9PJK6	Q8C0M9
E9PJK7	Q91W50
E9PJK8	Q6A028
E9PJK9	P40237
E9PJL0	A0A0R4J242
E9PJL2	Q9D5N9
E9PJL4	Q8C879
E9PJL7	P23927
E9PJL8	Q8K007
E9PJL9	Q91YT0
E9PJM0	Q9R1Z7
E9PJM1	Q9DBU0
E9PJM2	Q9D8Z1
E9PJM3	Q9DC63
E9PJM4	Q99LI9
E9PJM7	Q6A028
E9PJM8	K4DI67
E9PJM9	P45952
E9PJN0	P58137
E9PJN1	Q9Z2B9
E9PJN2	Q9WVC6
E9PJN3	P49443
E9PJN4	Q61143
E9PJN6	Q8K224
E9PJN7	B2RX14
E9PJN8	Q99N10
E9PJN9	P62908
E9PJP0	Q924W7
E9PJP1	D3YZD8
E9PJP2	Q6NZL0
E9PJP3	P81117
E9PJP4	O70318
E9PJP6	Q8BHK2
E9PJP7	Q9CWE0
E9PJP9	P12672
E9PJQ1	Q7M758
E9PJQ2	B1AU75
E9PJQ3	Q8CFJ7
E9PJQ5	Q923S9
E9PJQ6	Q9D1R1
E9PJQ7	Q9WTW2
E9PJQ8	O35089
E9PJR0	Q0VBL6
E9PJR1	Q04207
E9PJR2	F8VQ06
E9PJR3	Q0VET5
E9PJR4	V9GX81
E9PJR5	Q7M6Y5
E9PJR7	Q9QY23
E9PJR8	Q61102
E9PJS0	Q8BU33
E9PJS1	A0A182DWE7
E9PJS3	Q5Y5T2
E9PJS6	Q8R104
E9PJS7	Q8BGR2
E9PJS8	Q9D9V3
E9PJS9	A0A0R4J225
E9PJT1	Q7M6Y3
E9PJT2	A0A087WPA7
E9PJT3	Q3UJB0
E9PJT4	D3Z2X2
E9PJT7	Q99K28
E9PJT8	G3X8X3
E9PJT9	Q6VVW9
E9PJU0	G3X9L9
E9PJU2	Q9JMH6
E9PJU3	Q6PIJ4
E9PJU5	Q640M6
E9PJU7	Q7TNU6
E9PJU8	Q91V76
E9PJV0	E9Q3E1
E9PJV0	J3QMK6
E9PJV2	Q9CZR2
E9PJV3	Q9CWX4
E9PJV4	A2AVJ5
E9PJV5	Q8VC03
E9PJV6	Q9D0I4
E9PJV7	Q6P4T1
E9PJV8	A0A0R4J1E2
E9PJV9	Q9WTW2
E9PJW0	Q91Z22
E9PJW1	Q9D0I4
E9PJW2	Q8CFJ7
E9PJW4	Q6DID7
E9PJW6	Q8K2D8
E9PJW8	Q78HU3
E9PJX0	Q9CYV5
E9PJX1	Q9DB43
E9PJX2	P97325
E9PJX3	Q059Y8
E9PJX4	Q91ZT5
E9PJX5	P16277
E9PJX8	Q08857
E9PJX9	Q3TFZ4
E9PJY0	Q9D6M3
E9PJY1	Q8R179
E9PJY3	E9QPW4
E9PJY4	Q11011
E9PJY5	Q924W7
E9PJY7	Q8K3J1
E9PJY9	Q8BZH4
E9PJZ0	E9Q616
E9PJZ1	Q9D478
E9PJZ2	Q68FG2
E9PJZ3	Q3TFZ4
E9PJZ4	Q8VCD5
E9PJZ5	G5E863
E9PJZ6	Q8C4N4
E9PJZ7	B2RXQ2
E9PJZ9	Q04207
E9PK00	Q8K245
E9PK01	A0A0R4J1E2
E9PK03	Q9WU84
E9PK04	Q80ZJ8
E9PK05	Q80X80
E9PK06	A0A0R4J1E2
E9PK08	G5E8R4
E9PK09	Q8K019
E9PK10	G5E8F4
E9PK11	P12672
E9PK12	E9QL29
E9PK13	Q7M6Y3
E9PK14	Q91XT4
E9PK15	Q810Z1
E9PK16	Q6PCP5
E9PK17	O35711
E9PK18	A2AB59
E9PK19	A0A0R4J1R1
E9PK20	Q80WQ4
E9PK21	Q9QZH3
E9PK22	Q99N50
E9PK23	Q9JLZ8
E9PK24	Q8BR93
E9PK25	F8WGL3
E9PK26	Q91WE1
E9PK28	Q99K28
E9PK29	G3X9Z8
E9PK30	Q80SY9
E9PK33	A0A0R4J082
E9PK34	Q5XJY5
E9PK36	Q924W7
E9PK37	O35566
E9PK39	Q3UHC2
E9PK41	P56873
E9PK42	Q91XB7
E9PK43	Q9DCF1
E9PK45	P09528
E9PK46	Q8BPM6
E9PK47	Q9ET01
E9PK48	O88531
E9PK49	Q9D032
E9PK50	B2RUS7
E9PK51	A2ARI4
E9PK52	O70318
E9PK53	Q8CFJ7
E9PK54	P63017
E9PK56	P40223
E9PK57	Q80Y98
E9PK58	E9PYF4
E9PK59	Q9EQC5
E9PK60	P62852
E9PK61	A0A0R4J250
E9PK62	Q3UY23
E9PK64	Q8C351
E9PK67	Q8CIE4
E9PK68	P63328
E9PK71	Q9QY23
E9PK72	A0A0R4J1E2
E9PK73	Q9CXV1
E9PK74	Q09098
E9PK75	Q3TWJ1
E9PK76	Q60709
E9PK78	M0QWN7
E9PK79	Q6P8H8
E9PK80	Q8R104
E9PK81	Q71KT5
E9PK82	P62908
E9PK83	Q924W9
E9PK84	Q61239
E9PK85	P62071
E9PK86	P19324
E9PK87	Q3UB74
E9PK88	Q9DCF1
E9PK89	Q8VDV3
E9PK90	H3BK01
E9PK91	Q8K019
E9PK93	Q9DCT1
E9PK94	A2AHK0
E9PK96	Q8BHS8
E9PK97	P97290
E9PK98	E9PXZ2
E9PK99	B2RTJ2
E9PKA0	Q8BMF3
E9PKA1	P28659
E9PKA2	D3Z357
E9PKA3	G5E8D6
E9PKA4	Q9CWS4
E9PKA5	Q6P8H8
E9PKA7	P57791
E9PKA8	E9PUQ3
E9PKB0	O88307
E9PKB1	Q8C9M2
E9PKB3	A0A0R4J0A2
E9PKB5	P49443
E9PKB6	Q91V37
E9PKB7	Q3USK5
E9PKB8	A0A140LHH9
E9PKC0	Q3UIL6
E9PKC3	B1ASB6
E9PKC4	Q9QY23
E9PKC5	O08739
E9PKC6	A2APM2
E9PKC7	Q8BMF4
E9PKC9	Q924Y0
E9PKD2	Q80U93
E9PKD3	Q9JMH6
E9PKD5	O88685
E9PKD6	Q04891
E9PKD7	Q9ERH7
E9PKD8	Q80WR1
E9PKE0	Q924W7
E9PKE1	Q5GIG6
E9PKE2	A0A0R4J1P5
E9PKE3	P63017
E9PKE4	Q9D8F3
E9PKE5	Q3UVL4
E9PKE6	Q80Y98
E9PKE7	P58871
E9PKE9	Q8R1Z9
E9PKF0	Q9WTL8
E9PKF1	A0A0R4J242
E9PKF2	P16092
E9PKF3	Q8QZT1
E9PKF4	O70433
E9PKF5	P32958
E9PKF6	G5E8R4
E9PKF8	G3XA17
E9PKG0	Q9QXS1
E9PKG1	Q9JIF0
E9PKG2	B1AXJ3
E9PKG4	G5E8R4
E9PKG5	Q91V24
E9PKG6	P81117
E9PKG7	Q9WTL8
E9PKG8	Q7M758
E9PKH0	S4R1S4
E9PKH1	Q99P69
E9PKH2	P19324
E9PKH3	P62488
E9PKH4	Q64693
E9PKH5	Q04207
E9PKH6	Q8K3J1
E9PKH7	A0A0R4J1E2
E9PKH8	P19437
E9PKH9	G5E884
E9PKI2	Q78ZA7
E9PKI3	Q8BML1
E9PKI4	Q9JMH6
E9PKI5	Q9DBN4
E9PKI6	Q8K019
E9PKI7	Q8C0S1
E9PKI8	Q93092
E9PKI9	G5E8Z6
E9PKJ0	Q6DID7
E9PKJ1	Q8BMA5
E9PKJ2	Q91Y74
E9PKJ4	E9QL29
E9PKJ5	Q99KU1
E9PKJ8	Q3U2D2
E9PKK0	P58871
E9PKK2	Q80UL9
E9PKK3	A0A0R4J1E2
E9PKK4	K4DI67
E9PKK7	Q9CXA2
E9PKK8	Q99KK7
E9PKK9	Q9QUN9
E9PKL1	P30999
E9PKL2	Q8BG99
E9PKL3	D3Z357
E9PKL4	A0A087WSH6
E9PKL5	P48755
E9PKL6	Q8VGZ7
E9PKL7	P53994
E9PKL8	Q9DCT2
E9PKL9	P23591
E9PKM0	P63015
E9PKM1	Q924W7
E9PKM2	A0A182DWE7
E9PKM3	O35409
E9PKM5	P09528
E9PKM6	Q9D8Z1
E9PKM7	Q80X66
E9PKM9	Q99P21
E9PKN0	G3X9Z4
E9PKN1	Q9WTL8
E9PKN3	Q924W7
E9PKN4	Q91W50
E9PKN5	P26043
E9PKN6	Q7TMR0
E9PKN7	Q8BSH2
E9PKN8	Q80VL1
E9PKN9	Q4QQM4
E9PKP0	Q9CQ18
E9PKP2	Q7TNU6
E9PKP3	Q9DCF1
E9PKP4	P07141
E9PKP6	Q7M6Y3
E9PKP7	A2AWT5
E9PKP8	Q9JJE7
E9PKP9	A0A0R4J0P1
E9PKQ0	Q91WM1
E9PKQ1	Q9JIF7
E9PKQ3	O35280
E9PKQ4	Q8VCD5
E9PKQ5	Q8C3X2
E9PKQ7	P10605
E9PKQ8	E9Q696
E9PKQ9	Q7JJ13
E9PKR0	Q7M758
E9PKR2	A0PJK7
E9PKR3	Q9D099
E9PKR4	Q9CPY4
E9PKR5	B1AU75
E9PKR7	Q3TZ89
E9PKR8	Q91W19
E9PKR9	E9Q616
E9PKS0	Q6PCP5
E9PKS2	F6Y2T6
E9PKS4	E9PXW9
E9PKS5	A0A087WRT7
E9PKS5	Q99N05
E9PKS5	Q9D3F6
E9PKS5	Q9ES61
E9PKS9	Q9ES56
E9PKT0	Q3TQR0
E9PKT1	Q6ZPF3
E9PKT3	A2AHK0
E9PKT4	Q91Z22
E9PKT5	Q810P8
E9PKT6	P49935
E9PKT7	B1ARD6
E9PKT7	B1ARD8
E9PKT8	Q78ZA7
E9PKT9	A0A0R4J206
E9PKU1	P28659
E9PKU2	Q61727
E9PKU3	Q9Z2B9
E9PKU4	P62918
E9PKU6	Q8BW49
E9PKU7	Q8BHN3
E9PKU8	Q9D4V4
E9PKU9	Q80X66
E9PKV1	Q8BH00
E9PKV2	Q9D8P4
E9PKV3	Q924W7
E9PKV4	Q04207
E9PKV5	Q99LI9
E9PKV7	P16092
E9PKV8	Q810A3
E9PKV9	Q80ZE3
E9PKW0	Q9DB07
E9PKW1	F8VQ06
E9PKW2	A2AHL1
E9PKW4	Q91W19
E9PKW6	Q9QUN9
E9PKW7	Q7M758
E9PKW8	Q9QZU9
E9PKW9	P24638
E9PKX0	P10605
E9PKX1	B2RX14
E9PKX3	P16092
E9PKX4	Q8R0U9
E9PKX5	Q9CZR2
E9PKX6	E9PXZ2
E9PKX7	Q3UVL4
E9PKX8	Q8BPM6
E9PKX9	P04370
E9PKY0	P30999
E9PKY2	B2RX14
E9PKY3	Q8BS95
E9PKY4	A0A0R4J097
E9PKY5	Q9QZH3
E9PKY6	Q711T7
E9PKY7	P09528
E9PKY8	Q9R1Z7
E9PKY9	E9Q3E1
E9PKY9	J3QMK6
E9PKZ0	P62918
E9PKZ1	Q8R0M8
E9PKZ2	Q7TML3
E9PKZ3	A0A087WPA7
E9PKZ4	Q4QQM4
E9PKZ6	Q8CGF6
E9PKZ7	Q9D1R1
E9PKZ9	Q9D1R1
E9PL00	Q9D1P4
E9PL01	Q9CYN2
E9PL03	Q2TVW7
E9PL03	Q99N08
E9PL03	Q99N09
E9PL06	Q3U3V8
E9PL08	Q8BGR2
E9PL09	P62908
E9PL10	Q9CQH7
E9PL11	P70353
E9PL12	A0A0R4J1E2
E9PL15	Q9CWP8
E9PL16	Q9CQI4
E9PL17	Q99LI9
E9PL18	Q8R179
E9PL19	Q3UEB3
E9PL21	A0A0R4J1E2
E9PL24	G3X9L9
E9PL26	Q8BN58
E9PL27	Q80ZX2
E9PL28	Q7TNU6
E9PL30	L7N1X4
E9PL30	Q6P5C7
E9PL30	Q7M6X3
E9PL30	Q8BIN6
E9PL30	Q91W94
E9PL31	Q6PAN7
E9PL32	P10605
E9PL33	A0A0R4J250
E9PL34	O70274
E9PL35	Q9D099
E9PL36	Q64462
E9PL37	O35350
E9PL38	Q9WVJ2
E9PL40	Q80WR1
E9PL41	Q8BLR9
E9PL42	Q8BML1
E9PL44	Q8BU33
E9PL46	Q9DC63
E9PL47	Q8BKC8
E9PL49	Q7TMR0
E9PL50	Q8BHS8
E9PL52	Q80YD6
E9PL53	Q9D2C2
E9PL54	Q9WTL8
E9PL55	A2AH22
E9PL56	E9QLQ7
E9PL57	Q9D967
E9PL58	E9QKD9
E9PL59	Q04519
E9PL60	Q91ZJ0
E9PL61	D3Z6J1
E9PL62	A2AVJ5
E9PL63	Q91V24
E9PL65	Q80U78
E9PL66	Q8BHS8
E9PL67	Q8K1K9
E9PL69	P07742
E9PL71	A0A0R4J1E2
E9PL74	Q3UIL6
E9PL75	P49443
E9PL78	Q9DBU0
E9PL79	Q80ZE3
E9PL80	E9QK82
E9PL81	Q9CYY7
E9PL83	P97297
E9PL84	K4DI67
E9PL85	Q7TMR0
E9PL86	Q9D5K4
E9PL87	O70138
E9PL88	Q9JHE7
E9PL89	B1AS42
E9PL90	Q6A051
E9PL92	Q9D8Z1
E9PL93	Q8C4N4
E9PL95	K4DI67
E9PL96	Q9CQ44
E9PL98	E9Q9V5
E9PL99	Q99KU1
E9PLA1	A0A0R4J1E2
E9PLA2	Q62159
E9PLA3	E9QL29
E9PLA4	E9QMX7
E9PLA6	P19324
E9PLA7	Q99JX7
E9PLA9	Q60865
E9PLB0	Q8VE92
E9PLB1	Q80XI6
E9PLB2	Q9EPL8
E9PLB3	Q91V76
E9PLB4	Q32MG2
E9PLB5	D3Z0R2
E9PLB6	Q924W7
E9PLB8	A0A0R4J250
E9PLB9	Q8BHS8
E9PLC3	E0CXC6
E9PLC4	P97822
E9PLC5	Q91V76
E9PLC6	Q91YT0
E9PLC7	Q3UZW7
E9PLC8	Q0VBL6
E9PLC9	O35350
E9PLD0	Q9D1G1
E9PLD1	P32020
E9PLD2	Q9CWE0
E9PLD3	Q9D937
E9PLD4	Q91W50
E9PLD7	Q924W7
E9PLE0	K4DI67
E9PLE1	F8WI30
E9PLE4	Q9Z1X2
E9PLE5	Q3TIR3
E9PLE7	A2A8W8
E9PLE8	Q8CIE4
E9PLE9	P81117
E9PLF1	Q80W21
E9PLF3	E9PUK2
E9PLF4	P63017
E9PLF5	L7N1X4
E9PLF5	Q6P5C7
E9PLF5	Q7M6X3
E9PLF5	Q8BIN6
E9PLF5	Q91W94
E9PLF6	Q922H1
E9PLF7	Q80SY9
E9PLF8	Q3UHC2
E9PLF9	Q80UL9
E9PLG0	Q8BMI4
E9PLG2	O88685
E9PLG3	Q9Z0L2
E9PLG4	Q3UME2
E9PLG6	Q9JLZ8
E9PLG7	Q8CBR6
E9PLG8	Q9WTK3
E9PLG9	Q5FWH3
E9PLH0	E9PXZ2
E9PLH1	Q99K30
E9PLH3	A2AJI0
E9PLH5	Q924W7
E9PLH6	Q924W7
E9PLH8	Q9CXV9
E9PLH9	P23591
E9PLI3	Q71KT5
E9PLI4	Q8R2Q0
E9PLI5	Q8BFQ8
E9PLI6	Q3THJ3
E9PLI7	L7N1X4
E9PLI7	Q6P5C7
E9PLI7	Q7M6X3
E9PLI7	Q8BIN6
E9PLI7	Q91W94
E9PLI9	E9PXC3
E9PLI9	E9Q7C8
E9PLI9	K7N6C2
E9PLI9	P56654
E9PLI9	P56655
E9PLI9	P56656
E9PLI9	Q148B1
E9PLI9	Q569X9
E9PLI9	Q5GLZ0
E9PLI9	Q64458
E9PLI9	Q6XVG2
E9PLI9	Q91X77
E9PLJ0	Q9EPL8
E9PLJ1	P20490
E9PLJ2	A0A0G2JDS2
E9PLJ2	O35744
E9PLJ2	Q80W26
E9PLJ2	Q91XA9
E9PLJ2	Q91Z98
E9PLJ3	F8WGL3
E9PLJ5	E9QLR9
E9PLJ6	A2AVJ5
E9PLJ7	Q3UUI3
E9PLJ8	Q7M6Y3
E9PLK2	B2RY71
E9PLK3	Q11011
E9PLK4	E9Q616
E9PLK6	O08739
E9PLK7	Q8R5K2
E9PLK9	D3YZD8
E9PLL0	Q78HU3
E9PLL1	Q71KT5
E9PLL2	Q9CR25
E9PLL4	Q9Z0Y9
E9PLL7	Q8BLB7
E9PLL8	A0A0R4J1E2
E9PLL9	Q7M6Y5
E9PLM0	Q61139
E9PLM2	Q05186
E9PLM3	Q923S9
E9PLM5	P28571
E9PLM6	P12025
E9PLM8	Q3V1U8
E9PLN0	A0A087WPA7
E9PLN1	Q9D131
E9PLN2	Q99K30
E9PLN3	G5E833
E9PLN4	O70230
E9PLN6	Q8BY78
E9PLN7	P45952
E9PLN8	F6W3F3
E9PLN8	Q9CRC0
E9PLP0	Q9ER72
E9PLP2	Q9CPW5
E9PLP4	Q8C031
E9PLP5	Q0VE29
E9PLP7	Q6P8H8
E9PLP8	Q99LI7
E9PLQ0	Q925Q5
E9PLQ2	A2AFS3
E9PLQ5	Q3U381
E9PLQ7	Q3U381
E9PLQ9	P04370
E9PLR0	P81117
E9PLR1	Q9D710
E9PLR2	Q924W7
E9PLR3	E0CZ58
E9PLR4	Q69ZS7
E9PLR5	P81117
E9PLR6	P09055
E9PLR7	Q8R1Z9
E9PLR8	Q7M758
E9PLR9	Q6IR37
E9PLS0	B5TVM2
E9PLS2	Q9CXV9
E9PLS3	A0A0R4J0P1
E9PLS4	Q91XC9
E9PLS5	Q8K007
E9PLS6	A0A0R4J1E2
E9PLS7	O70230
E9PLS8	D3YVU3
E9PLS9	Q71KT5
E9PLT0	Q91W50
E9PLT1	Q08857
E9PLT2	A2AWT5
E9PLT3	Q9JMH6
E9PLT4	Q99P21
E9PLT5	E9QMX7
E9PLT6	Q5FWH3
E9PLT8	A0A0R4J1E2
E9PLT9	Q9D9S2
E9PLU0	Q8BKZ9
E9PLU1	Q9CWE0
E9PLU3	V9GX91
E9PLU5	A2AHG2
E9PLU6	E9PYF4
E9PLU7	Q9DAS1
E9PLU9	P04370
E9PLV0	O35409
E9PLV1	D3YYD1
E9PLV3	Q6P4T1
E9PLV4	A2AHG2
E9PLV5	P23578
E9PLV6	Q9WTK3
E9PLV7	Q8BVI5
E9PLV8	H3BK01
E9PLV9	Q9QXW9
E9PLW2	Q4KMM3
E9PLW3	A2CG24
E9PLW4	B2RY71
E9PLW5	Q3UZW7
E9PLW6	Q9CQF6
E9PLW9	L7N1X4
E9PLW9	Q6P5C7
E9PLW9	Q7M6X3
E9PLW9	Q8BIN6
E9PLW9	Q91W94
E9PLX0	O35350
E9PLX1	Q9DAD0
E9PLX2	Q99MB7
E9PLX3	G3UW70
E9PLX4	P04187
E9PLX4	P08882
E9PLX4	P08883
E9PLX4	P08884
E9PLX4	P11033
E9PLX4	P13366
E9PLX4	Q920S1
E9PLX6	A0PJK7
E9PLX9	Q7M6Y5
E9PLY0	E9PVY8
E9PLY3	P10605
E9PLY4	Q7TMR0
E9PLY5	E9PVY8
E9PLY6	Q9D9V3
E9PLY7	P97376
E9PLY8	A2AFS3
E9PLZ0	E9PVR2
E9PLZ2	O88455
E9PLZ3	Q91VI7
E9PLZ4	P54830
E9PLZ6	O35566
E9PLZ7	Q49B93
E9PLZ8	Q78HU3
E9PLZ9	Q9D099
E9PM00	O88455
E9PM01	Q93092
E9PM03	Q8CEG5
E9PM04	Q9CXV9
E9PM05	A0A0R4J250
E9PM06	O54804
E9PM07	A0A0R4J110
E9PM09	P80318
E9PM10	B2RTJ2
E9PM11	Q9WTK3
E9PM12	Q9JHF5
E9PM13	P63017
E9PM14	Q9CQ54
E9PM16	Q3TFZ4
E9PM17	G5E884
E9PM18	Q99K28
E9PM19	E9QJS1
E9PM20	E9QPW4
E9PM21	P52787
E9PM22	P81117
E9PM23	Q6DID7
E9PM24	Q3U132
E9PM26	E9Q9V5
E9PM27	D3YV92
E9PM28	P11862
E9PM29	B1ARD6
E9PM29	B1ARD8
E9PM30	Q8BMI4
E9PM31	P35762
E9PM32	Q924W7
E9PM34	Q99K30
E9PM35	Q8BWG8
E9PM36	D3Z536
E9PM36	J3QMG5
E9PM36	P25444
E9PM37	Q3UCQ1
E9PM39	Q9DD19
E9PM43	P40237
E9PM45	Q3UZW7
E9PM47	Q04207
E9PM49	Q642K5
E9PM51	E9QKD9
E9PM52	Q8R104
E9PM53	Q99P21
E9PM57	Q8CCJ9
E9PM58	Q8R179
E9PM59	Q9D4V4
E9PM60	Q80Y98
E9PM61	Q8VE92
E9PM62	Q6DID7
E9PM63	Q99K28
E9PM64	D3Z2X2
E9PM65	O35280
E9PM66	A0A0R4J1E2
E9PM67	Q9WU62
E9PM68	Q80U78
E9PM69	O88685
E9PM70	A2AE42
E9PM72	Q8VCD5
E9PM74	Q8R2Q0
E9PM75	Q8R104
E9PM76	Q91W19
E9PM77	Q8CC70
E9PM78	Q9CXV9
E9PM79	G3UVW3
E9PM81	Q8CEG5
E9PM82	Q9D8Z1
E9PM83	Q91YS4
E9PM84	Q924W7
E9PM86	Q8CIE4
E9PM87	P29352
E9PM88	Q6PIJ4
E9PM91	Q8BH76
E9PM92	Q9R0P4
E9PM93	E9QLR9
E9PM94	Q9WTK3
E9PM95	A2VDH7
E9PM95	B1AQP7
E9PM95	B2RT54
E9PM95	E9PUZ0
E9PM95	E9PZG0
E9PM95	G3X9K7
E9PM95	Q3UZ24
E9PM95	Q8C6E1
E9PM95	Q8C7I4
E9PM95	Q8CCA5
E9PM95	Q8VDU3
E9PM97	H7BX23
E9PM98	Q5SV02
E9PM99	Q8C879
E9PMA0	Q9Z0X1
E9PMA1	A0A0R4J1R1
E9PMA2	Q9CWS4
E9PMA3	G3UVW3
E9PMA4	Q7TNU7
E9PMA5	Q8VDZ4
E9PMA6	Q5BKQ4
E9PMA7	E9QLR9
E9PMA8	O09110
E9PMA9	Q91VI7
E9PMB0	Q8BTG3
E9PMB2	A0A0R4J209
E9PMB3	A9Z1V5
E9PMB4	P70302
E9PMB5	O88870
E9PMB6	Q3UVL4
E9PMB7	Q3V3N7
E9PMB8	Q921Q7
E9PMB9	Q8BMF3
E9PMC0	Q61139
E9PMC1	Q9D131
E9PMC3	Q8CIF6
E9PMC4	P58137
E9PMC5	Q9JHF5
E9PMC6	O35350
E9PMC7	Q91Y74
E9PMC9	Q8BMB0
E9PMD0	Q7TME2
E9PMD2	Q9D2C2
E9PMD3	B1AS42
E9PMD4	Q08943
E9PMD5	Q04207
E9PMD6	Q6PG04
E9PMD7	P62137
E9PMD8	O88685
E9PME1	Q924W7
E9PME3	Q9JHE7
E9PME6	Q61069
E9PME7	Q8CIF6
E9PME8	D3Z338
E9PME9	O89023
E9PMF0	Q8CFJ7
E9PMF9	Q8BGR2
E9PMG1	O54916
E9PMG2	O88531
E9PMG3	Q8VBU5
E9PMG4	Q8VC51
E9PMG5	O70318
E9PMG6	Q8CCG1
E9PMG7	A0A0R4J097
E9PMG8	Q8CHK4
E9PMG9	B2RQF5
E9PMH0	Q9QZH3
E9PMH1	Q99P21
E9PMH2	O08915
E9PMH3	O35711
E9PMH5	Q62210
E9PMH7	Q9CR25
E9PMH9	Q91YP3
E9PMI0	Q8C351
E9PMI1	Q91VI7
E9PMI2	Q3KNK3
E9PMI5	P19324
E9PMI6	Q923F1
E9PMI7	Q9JJR8
E9PMI8	A0A182DWE7
E9PMI9	Q9D5W4
E9PMJ0	Q8CAF4
E9PMJ1	Q923S9
E9PMJ2	Q8C569
E9PMJ3	Q91VI7
E9PMJ5	Q9R0C8
E9PMJ6	E9PYF4
E9PMJ9	Q924W7
E9PMK0	G5E8F4
