mouse_uniprot	mouse_entrez	mouse_refseq	human_entrez	human_refseq	human_uniprot
Q8VFR2					
Q60696					
E9PYQ1					
B2RSF7					
J3QNM2					
Q5DTP2					
B2RPW2					
Q5DT35					
Q80TB2					
D3YUL6					
Q80UF8					
P97480	14050	NP_034296.2	2140		Q99504
Q8BKT9					
A0A0G2JDT9					
H3BK67					
A3KFV6					
E9PUL0					
D3Z4P8					
E9Q7N9					
Q9EP83					
A0A0U1RNL2					
A0A0N4SVI4					
Q8BRJ4					
Q3TVR8					
Q9QY48	56629	NP_064341.3;XP_006501826.1;XP_006501827.1;XP_011238473.1;XP_011238474.1	58511	NP_067056.2	Q8WZ79
D3YU60					
B7ZP28					
E9Q6T2					
Q8BMB4					
D3YUM3					
Q3V346					
E9PUQ3					
Q3TLP7					
B2RXR6	329154	NP_001074902.2	91526	NP_001182073.1	Q8N8A2
A0A087WST4					
D3Z168					
Q5CZY0					
Q8BNK8					
Q8CCE8					
Q3USU3					
Q80V78					
Q3UHK0					
F6V6B6					
Q9CUQ9					
G3UXL5					
Q3UE31	223739	NP_001028445.1	23313	NP_001009880.1	Q6ICG6
P62515	18994	NP_032927.1	5456	NP_000298.3	P49335
Q4TU90					
G9B4I1					
Q810P0					
Q8C5S5					
D6RCG8					
Q52KH0					
O35363					
B7ZND3					
Q9D7L7					
A0A140T8T9					
L7N2C3					
Q3UYC2					
A2AS37					
A0A087WP55					
G3X8R0					
A0A0N4SW98					
Q76N29					
Q0VAV2	320051	NP_789816.2;XP_006510488.1	23086	NP_055880.2	Q8NEV8
Q8K271					
Q5SUW0					
Q9CRF9					
Q8K4I7	260408	NP_694812.1	377047	NP_954652.2	Q7RTY3
E3VRZ3					
Q8CFX3					
A0A0G2JFJ8					
Q3TP46					
F7CGC9					
Q3UEV0					
Q80U16	193385	NP_001073850.1;NP_001273029.1;NP_001273030.1;NP_083955.1;NP_848773.3	9750	NP_055537.2	Q9Y4F9
D6REI7					
O35411					
Q9JKA6					
Q49S98					
Q3V0V3					
F6Q8U1					
Q8CDD5					
Q9EQF6	65254	NP_075534.1;XP_006504108.1	56896	NP_001240652.1	Q9BPU6
Q6ZPQ4					
Q8C5P2					
F6YWA3					
Q3THE1					
Q9D832	67035	NP_080202.1;NP_081563.2;XP_006501983.1	11080	NP_008965.2	Q9UDY4
Q8BXR9	99031	NP_001277662.1;NP_001277663.1;NP_663500.2;XP_011238164.1	114880	NP_001188409.1	Q9BZF3
G3UZU9					
Q8BZI2					
Q3UMG4					
D3YZL8					
Q3TQS1					
G3X9T2					
G3UWW4					
S4R1E1					
Q8C586					
Q61096	19152	NP_035308.2	5657	NP_002768.3	P24158
E9PWY7					
B7SNM9					
Q3UQ16					
Q9D1Z2	68243	NP_080910.1	100131378	NP_001160164.1	Q3C1V1
Q5PSA9					
V9GXE4					
Q810G6					
Q8C5M9					
V9GXX2					
D3Z5V7					
F6VKM0					
Q8BLQ6					
Q2TB54	64435	NP_001164103.1;NP_659209.2;XP_006529850.1;XP_017177414.1	83953	NP_001164102.1	Q8WWV6
P03899	17718;3338896	NP_904335.1;YP_220557.1	4537	YP_003024033.1	P03897
A0A0N4SV92					
F6V305					
A1YYN6					
Q9D6P8	70405	NP_081692.1	810	NP_005176.1	P27482
G3X8T7					
G0YZM9					
Q9D0S9	68917	NP_081147.1	84681	NP_115982.1	Q9BX68
Q54AE6					
Q9WVI9	19099	NP_035292.2	9479	NP_005447.1	Q9UQF2
D3Z088					
Q8BL63					
Q9DAV8					
Q3TNS3					
M0QWD2					
G5E8Z3					
G3X9M0					
Q0Q236	77684	NP_001074411.1			
F2Z461	67138	NP_080268.1	55008	NP_060382.3	Q8IVU3
E0CYM4					
A0A1B0GSY0					
Q8BP38					
Q3US98					
A0A087WRX0					
Q8C2W0					
Q8VE00					
A2AQU8					
A0A0R4J181					
G5E8H9					
D2CGM4					
Q8BYG3					
Q9D1Y2					
Q8VGL7					
Q9JKV8					
Q9R1W6					
A0A087WQ25					
F7CXJ2					
Q8K3S7					
E0CXS9					
Q9EPA7	66454	NP_597679.1;XP_006539168.1	64802	NP_073624.2	Q9HAN9
Q9JMF9					
A0A087WQX4					
E9Q0N7					
Q8BT27					
X4YZM3					
A0A0U1RPE8					
E9Q5B0					
Q3UY61					
Q3TVA9	232664	NP_001188307.1;NP_663549.3	64753	NP_073579.4	Q96JN2
Q3UW79					
P51910	11815	NP_001288282.1;NP_001288283.1;NP_031496.2	347	NP_001638.1	P05090
Q3TJQ3					
B2RXS2					
F8WIN7					
Q02650	18507	NP_032808.1	5079	NP_057953.1	Q02548
E9PWI5					
Q9WUD4					
Q3TDI9					
Q78Z98					
D3Z491					
Q8BY49					
G3UYQ4					
Q8VGK3					
Q8K2A7	70885	NP_001280720.1;NP_001280721.1;NP_081866.1	55174	NP_060612.2	Q9NVR2
E0CXC9					
P09602	15331	NP_058653.1			
Q5DTT7					
Q3V2F0					
Q9WVL7	20309	NP_035469.1			
F6T4V0					
F6XJP7					
Q794G7					
Q3UJZ8					
Q3UC14					
G3UWP6					
Q14BG9					
A0A087WPJ2					
Q3TPW1					
S4R270					
H3BJA7					
O08537	13983	NP_034287.3;NP_997590.1	2100	NP_001428.1	Q92731
Q8CBP8					
Q8R4E4	170947	NP_579941.2	91977	NP_001116325.1	Q8TDC0
H3BJ65					
Q4FJS3					
Q8R1U2	68567	NP_001153621.1;NP_081046.1	10669	NP_001159711.1	Q99674
S4R221					
S4R2J5					
B1AVN5					
Q3UQG4					
Q3TNI6					
Q8VF42					
D3Z4D6					
K7N6V7					
D6RJ66					
E0CYX8					
Q8BJA6					
A0A140LJ62					
A7VMS3					
Q9R000	26549	NP_038740.1	26548	NP_036410.1	Q9UKP3
J3QQ55					
Q05C74					
H8ZX59					
Q3UXU9					
Q566K0					
Q3UM63					
A0A087WQJ6					
Q8CIL5					
Q3UUT8					
Q3TSF8					
B7ZNW9					
Q921I6	98402	NP_598577.1;XP_006530038.1	23677	NP_055336.1	Q9P0V3
Q3TEI4	74211	NP_083096.1;XP_006511579.1	56905	NP_056307.2	Q6ZRI6
A0A0M6L0J6					
B8JJB0					
E9PYR7					
P17564	17872	NP_032680.1	23645	NP_055145.3	O75807
H3BKP2					
A0A0G2JFC7					
Q9CPY3	67849	NP_080686.1	113130	NP_542399.1	Q96FF9
F6RTE1					
D3Z035					
A2RS53					
Q9D2I8					
Q3UMD2					
H3BLC4					
Q6PDD9					
Q7M757	368203	NP_988991.1			
Q05BF9					
A0A140LIH2					
D6RI23					
Q9JLA9					
D6RG59					
A0A1B0GR98					
P17439	14466	NP_001070879.1;NP_032120.1	2629	NP_001005742.1	P04062
A0A0G2JE61					
Q3TJW2					
Q8BTW4					
H3BLC7					
Q76L85					
F6RP70					
Q91WX5					
Q8BG21	381356	NP_001230168.1;NP_001230169.1;NP_084138.1	11094	NP_001229298.1	Q9UGQ2
F6W6D3					
Q80TA1	28042	NP_081928.2	85465	NP_277040.1	Q9C0D9
Q8CDX6					
Q3TZG1					
A0A1B0GST0					
Q8K176					
F6QV10					
E0CXV8					
Q91ZC7	404235	NP_997417.1			
Q9D3C7					
D7NVX2					
A2A6G8					
F7BY36					
E9QKY4					
Q8BNA0					
A0A0J9YUD5					
Q3TTA2					
D6RI83					
Q3UZ77					
L7N2D4					
E9QAQ2					
Q3UN44					
Q8MHV3					
Q3TMP9					
P26952	16188	NP_032395.1	3563	NP_002174.1	P26951
Q8K406	213469	NP_660254.1	203190	NP_644807.1	Q8N145
F6RPB0					
Q5MJ56					
Q3TIZ0					
A0A0A6YX25					
Q3UX26					
B2RUC4					
B2KF50					
A5HLW2					
Q8BRL1					
Q8BZR2					
Q8VBV3	227715	NP_659135.1	23404	NP_055100.2	Q13868
B9EKB4					
Q8BJH3					
F6QZU1					
Q8BPQ8					
Q3UXL1					
Q3UD69					
F7ABV5					
Q921I0	227102	NP_663492.3	94101	NP_001121622.1	Q9P0S3
Q09J73					
D3YZG6					
Q3V1V2					
Q80UT7					
J3QPD5					
E0CYY0					
Q860W8					
Q60680					
Q545I1					
Q8BIY1	242691	NP_766464.1	63906	NP_071361.2	Q96I76
Q6PAI8					
Q80ZQ8					
D3Z4M8					
Q8C0C9					
A0A0R4J1J2					
Q8CJ39					
Q8VEQ6					
A2APM4					
Q5R1B1					
A2AD39					
Q5SRW7					
Q8VFC9	258488	NP_666706.1			
A0A087WSC6					
Q2TJH9					
B2RTE3					
A0A087WQQ0					
U5LHT6					
Q5SQY9					
A3QK59					
A0A0N4SUP0					
A0A1B0GT12					
S4R2R7					
G3UYB9					
Q3UUK7					
B7ZN36					
A0A0G2JEW6					
A0A1B0GS45					
K7TD49					
Q3TD29					
B2RWZ6					
Q3UPD5					
Q76MT2					
A8Y5E1					
Q501P1	70370	NP_077199.2	129804	NP_694946.2	Q53RD9
Q3UZZ4					
Q9CYB9					
D3YXC6					
Q3TQK5					
Q8CIA7					
Q3TW71					
Q91VR5	104721	NP_598801.1	1653	NP_004930.1	Q92499
Q3TMS8					
A2AJH3					
Q149D5					
Q3V3B6					
A0A0G2JFJ9					
Q8C2M5					
S4R2Q5					
Q9DCS2	68347	NP_080962.1	84326	NP_115742.3	Q96S19
A0A075B5Z8					
Q548U5					
A0A0G2JGM1					
E9Q253					
Q3TQ82					
A0A0A6YXZ3					
Q3UQ92					
A0A1B0GX24					
Q4FCQ6					
Q9JJ21					
G3UZL4					
G5CPP0					
Q497H4					
Q8VGR2					
Q3UI45					
D3YUA5					
Q8C9J1					
Q542F4					
Q9CUH1					
E9Q4M7					
A0A0G2JG57					
B9EKD6					
D3Z0P2					
Q8CGT0					
G3UYW1					
Q8R398					
Q8BGM5	212989	NP_001123666.1;XP_006530883.1	54831	NP_060152.2	Q8NFU1
Q69Z38	244895	NP_766512.2;XP_006511230.1;XP_006511231.1	79834	NP_079052.2	Q9H792
Q91XV3	70350	NP_081671.1	10409	NP_001258535.1	P80723
J3QM79					
A0A0J9YUR3					
Q3UWC7					
A0A0A6YWA6					
Q9CRX2					
Q8VI38	227671	NP_631936.2;XP_006497981.1	26301	NP_068836.2	Q8N5D6
B2RY08					
P51912					
Q9WU01	170771	NP_573498.1	202559	NP_689901.2	Q5VWX1
V9GXP8					
Q3U1X5					
F6TTJ9					
Q3TU45					
B1ATS4					
B0R003					
A0A0G2JDW6					
Q3U0N0					
A2AFK9					
Q3UV34					
A2AJA7					
E0CYT8					
Q5D0E7					
A0A0G2JH13					
E9Q0W8					
Q6PFV8					
Q8BFS0					
E9Q3Y1					
D3Y272					
Q9CW78					
A0A0U1RQA8					
F7AR97					
Q3TUV7					
D3Z554					
A0A0J9YUE0					
P57776	66656	NP_001272358.1;NP_001272359.1;NP_001272360.1;NP_001272361.1;NP_001272362.1;NP_001272363.1;NP_075729.2;NP_083939.1	1936	NP_001123525.2	P29692
F8WJA7					
Q8BHZ0	76820	NP_001139591.1;NP_084034.2;XP_006515309.1;XP_006515310.1;XP_006515311.1	81553	NP_110424.1	Q9H0Q0
Q6PAK3	381813	NP_958759.2	56341	NP_062828.3	Q9NR22
Q587J6	381591	NP_001074671.1			
A2AFS1					
D3Z751					
A0A0A6YWI0					
A0A0A6YW24					
Q3V037	214568	NP_001028427.1	206412	NP_001010868.2	Q5TEZ5
F6XC25					
Q78ZJ8					
A0A0A6YY22					
Q3USS7					
D3YU88					
Q8BNL1					
A0A1B0GSI8					
Q8CIL4	66523	NP_079891.2	128061	NP_689592.2	Q8NDD1
Q9D3N7					
A0A0N4SWB8					
E9Q5U1					
Q9CRV2					
Q91XY4	93712	NP_291065.3	56111	NP_061740.2	Q9Y5G9
Q8C984					
A6H6F2					
A0A0J9YUM0					
B1AS81					
Q3UVC5					
Q52KM7					
E0CXZ8					
A0A1B0GST8					
I6VVE3					
Q8C1X9					
E0CY01					
A0A0N4SUT6					
Q8C5F1					
Q3TY94					
Q3TGN0					
Q50HW9					
Q923F1					
I7H459					
Q8VFX6					
Q3TP41					
D3YZ28					
Q5M9J9					
Q8VFS3					
Q925M6					
Q8CD14					
D3Z2M0					
D3Z712					
A0A0N4SVW8					
Q8C620					
Q8VHM9					
Q3TQI8					
Q3U114					
Q8BS45	264134	NP_705828.2	79989	NP_079202.2	A0AVF1
Q8VG61					
A0A0N4SW90					
Q99KR1					
F6M2K0					
E9PUZ9					
Q3UWD5					
Q8CBY8	67665	NP_080578.1;XP_006526252.1	51164	NP_057305.1	Q9UJW0
Q9CSI6					
A2ANU5					
B7ZCT0					
M0QWH5					
Q80V72	76500	NP_083910.2;XP_006511913.1;XP_006511914.1	51447	NP_057375.2	Q9UHH9
Q60922					
K7TRK9					
Q3TMK0					
P70338	14581	NP_034408.1;XP_006534854.2;XP_006534855.1;XP_006534856.1;XP_006534857.1;XP_011247711.1	2672	NP_005254.2	Q99684
Q9DBP6					
Q8CFT0					
Q3URD4					
G3X9Z8					
Q8BZ59					
F6TLJ4					
A0A087WR43					
H3BKI4					
A2AE01					
A0A0G2LB90					
O55179					
E0CXI6					
A0A0A6YWJ0					
A0N920					
E0CXP3					
A2BEE9					
K7U681					
O08755	15379	NP_032288.1	3175	NP_004489.1	Q9UBC0
Q9CR99					
E9Q7E4					
Q61999					
Q3UX00					
Q2VEB4					
G3UYH2					
A2AE15					
V9GWZ4					
F8WHM5					
F7B2G8					
Q8BV84	109314	NP_780633.1	574414	NP_001182500.1	Q5T870
Q544Z3					
E9PUY8					
E9QLD5					
E9PX24					
Q3UIT0					
Q3U582					
P70165					
D6RGU4					
K4DI60					
F6RYN6					
Q8BST5					
Q9JHJ5	57014	NP_064670.1	9177	NP_006019.1	O95264
A0A0A6YXI6					
Q9JHP1					
F6Y765					
D3YVH5					
D3Z4Q4					
Q8BV18					
D3YVL0					
O70194	55944	NP_061219.2;XP_006521255.1	8664	NP_003744.1	O15371
B1AZA7					
Q4VA53	100710	NP_780519.3;XP_006504965.1	23047	NP_055847.1	Q9NTI5
Q3UQV1					
Q9QZP7					
Q8C0D2					
A2AT85					
Q8CE07					
Q3UU90					
E0CXZ0					
H3BK02					
Q8R499					
A0A0N4SW69					
Q8BRB1					
Q9Z0Y3					
A0A075B620					
Q8R4P1					
Q3TBM0					
A0A1B0GR83					
Q3UPW9					
B4XVP4					
I7HJI7					
D3YYD9					
Q8BVH0					
Q3UMS6					
Q3UZP0	218518	NP_001033691.1;XP_006517668.1	153562	NP_001033692.2	Q8N4S9
Q920V1	26879	NP_064410.1;XP_006501592.1	8706	NP_001033717.1	O75752
Q8BI36	104771	NP_001191996.1;NP_077167.1	51528	NP_001271130.1	Q9P055
G3UX49					
A0A140LJJ0					
E9Q6L3					
Q91XZ3					
Q6GXA6					
Q9CW33					
Q5F2A3					
A0A087WQC2					
Q9WTY1					
Q3UBP6					
A0A075B6D7					
Q9D9Z1	51944	NP_080688.2	90417	NP_150628.3	Q9Y448
Q9WTX8	17120	NP_034882.2;XP_006504714.1	8379	NP_001013858.1	Q9Y6D9
Q61934					
A0A140T8Q8					
F7CPB1					
Q62036	12009	NP_033864.3;XP_006532124.1	22994	NP_055799.2	Q9UPN4
Q78E71					
Q8VIG1	19712	NP_035393.2;XP_006534905.1	5978	NP_001180437.1	Q13127
F6Y0Q7					
Q0P538					
E9Q7G8					
Q80X81					
D3Z5B5					
J3QMP7					
Q8BM65	241134	NP_766437.2;XP_006496550.1;XP_006496553.1	57624	NP_065915.1	Q9P242
Q8CID3	208659	NP_722477.1	54757	NP_060035.2	Q96MK3
F7CPB7					
E9Q968					
E9PVA8	231659	NP_766307.2	10985	NP_006827.1	Q92616
Q80TQ3					
P15037	23872	NP_035939.3	2114	NP_001243224.1	P15036
Q7TS81					
Q7TMS3					
Q14BI2	108068	NP_001153825.1	2912	NP_000830.2	Q14416
A2AG55					
Q3TNV7					
A2A9F2					
Q3TUE2					
Q4FK28					
Q6P8L4					
Q6P9K2					
Q99K01	94184	NP_001034622.1;NP_001277946.1;NP_444411.2	23042	NP_055842.2	Q6P996
Q9EQ37					
Q3TEE8					
Q3UPB5					
Q50L41	271844	NP_001019316.1	255189	NP_998765.3	Q68DD2
Q3U573					
Q8VFI3					
D3YWE3					
Q1ERP8	52685	NP_001154183.1;NP_001154184.1;NP_001154185.1;NP_082263.2	146894	NP_660316.2	Q6UXG3
Q9CYP3					
A0A0R4J183					
P97817	12585	NP_031698.2	1039	NP_001793.1	Q01850
Q8CEZ8					
D3Z5W9					
Q6P8Y2					
E9Q455					
Q9D881					
P12968	15874	NP_034621.1	3375	NP_000406.1	P10997
Q3TZM0					
A0A140LI70					
Q99LX3					
Q3UVP4					
F8QZ85					
S4R1A9					
Q2TFN8					
Q8BIL4					
Q6R0H6	14683	NP_001070975.1;NP_001297014.1;NP_963911.1;NP_963912.1	2778		O95467;P63092;P84996;Q5JWF2
D6RHK5					
F6Z6F4					
E9Q202					
A2AWS5					
A2AEC2					
Q8K442	217258	NP_694785.3			
Q9WVB0	19663	NP_001036139.1;NP_001036140.1;NP_062707.1	11030	NP_001008712.1	Q93062
E5Q371					
Q8BNH9					
A0A0N4SV38					
D6RFD7					
Q9CWH4	73673	NP_082874.1	283677	NP_001035826.1	Q7Z4M0
B1AVP0					
D3Z1J5					
Q8BUJ1					
A0A0U5BRI3					
Q3UYF4					
S4R297					
A0A140LIV6					
P09242	11647	NP_001274101.1;NP_031457.2;XP_006538560.1;XP_006538561.1;XP_006538562.1;XP_006538563.1;XP_017175413.1	249	NP_000469.3	P05186
Q7TNH7					
Q8R5I6					
M0QWP4					
E9Q4A1					
Q3TNR6					
Q9EQI8	67308	NP_075820.1	26589	NP_071446.2	Q9H2W6
C7TQ58					
D3YYU6					
Q3U4H0					
Q3U237					
Q0VBT9					
Q60638					
Q61821					
A2AV25	98970	NP_849218.2	84929	NP_116232.3	Q8N539
Q9D6P5					
P39655	11684	NP_031466.2	239	NP_000688.2	P18054
F6VR19					
Q8BHE7					
O88848	56297	NP_062639.3;XP_006522461.1	84100	NP_001265222.1	Q9H0F7
Q99PU8	72831	NP_001239611.1;NP_001239612.1;NP_579925.1;XP_006512361.1;XP_006512362.1;XP_006512363.1;XP_006512364.1;XP_006512366.1;XP_006512367.1;XP_006512368.1;XP_011241331.1;XP_017169102.1;XP_017169103.1	22907	NP_619520.1	Q7L2E3
A0A0R4J8U2					
Q6ZPE3					
D3Z1R9					
D6RH43					
L7MU81					
W0UTF4					
Q8R581					
Q8VEH6	226043	NP_666209.1	55871	NP_060961.3	Q9BRT8
Q3T9U0					
P56450	17202	NP_058673.2	4160	NP_005903.2	P32245
Q8BUM3	320139	NP_796055.1;XP_006529759.1;XP_006529760.1;XP_006529761.1	5778	NP_002823.3	P35236
Q8C7Y2					
Q24JP2					
Q8BKG1					
Q8C6U0					
A2RTU1					
Q3TEK4					
Q9JM95	50935	NP_001020481.1;NP_001020482.1;NP_001276476.1;NP_001276477.1;NP_001276478.1;NP_058669.1	30815	NP_038471.2	Q969X2
Q640N2	68146	NP_080853.3	200894	NP_001167621.1	Q3SXY8
V9GX91					
D3YYI2					
Q9D187	68523	NP_081029.1	51647	NP_057146.1	Q9Y3D0
F7BM53					
A0A0G2JDW4					
H3BJM0					
I7HLV2					
G9B4I2					
E9Q9B8					
E9Q857					
I1VGT4					
E9Q069					
Q3UT54					
Q3TZT4					
Q3UUT9					
A0A0A6YWP5					
B5TVM5					
Q3UVX9					
A0A0A6YVZ6					
Q543J1					
Q3UE77					
Q9D977					
Q9D6J6	72900	NP_001265344.1;NP_082664.1	4729	NP_066552.2	P19404
Q9DA19	66935	NP_080130.2	9541	NP_004873.3	Q86X95
Q3UDU9					
A0A1B0GRM5					
F6TUC4					
H3BJG7					
A0A140LI04					
Q3TYA7					
Q8BNN9					
Q3UL33					
Q6QDC8					
F6TQN9					
Q3UP92					
B9EI00					
Q9CRP9					
E9Q526					
Q3UJY9					
Q9CQS7	434423	NP_079550.2	340168	NP_001020461.1	A6NC42
Q5SXI6					
Q05DE4					
G3UWR2					
Q8R2A7					
D3Z2U5					
A0A024CD92					
A0A0J9YUK3					
D3YVG0					
D6RCG1					
Q32MH2					
Q9DC29	74104	NP_076221.1	10058	NP_005680.1	Q9NP58
Q8BIW1	229589	NP_775482.1	58497	NP_067045.1	Q86TP1
Q8CFN7					
Q91X91	67375	NP_598447.1	23475	NP_055113.2	Q15274
Q0VDW8					
Q8R1Q7					
D3YZS8					
P17427	11772	NP_031485.3	161	NP_001229766.1	O94973
Q8C7F7					
Q9D061	72482	NP_001139253.1;NP_080959.1;NP_082526.2	84320	NP_115736.1	Q9BR61
A0A0G2JDA4					
Q6SJQ5	382551	NP_954671.1	100131439	NP_001108624.1	Q6UXZ3
X5J4L0					
E9PZI0					
Q9EQ35					
A2ART4					
Q08EC2					
P26231	12385	NP_033948.1;XP_011245120.1	1495	NP_001894.2	P35221
A0A0U1RP78					
A0A0G2JE27					
Q9D9V7	69440	NP_081357.2	414918	NP_001001794.3	Q8NEG7
Q3UQU9					
B1ATR5					
B1AUV7					
Q6P7U1					
K7TR97					
Q8C5U8					
Q14BJ1	69627	NP_001074589.1	375061	NP_940954.1	Q96GI7
Q3TQV0					
G3UY75					
Q8VGB8					
E9PW61					
B2RSY5					
Q8VH18					
A3KPC4					
P59384	235130	NP_001019310.1	170689	NP_620686.1	Q8TE58
G3UWN7					
Q80UN7					
X5J5H4					
G3X9V8					
Q61682					
Q3UZD1					
Q3U3W7					
Q6PAN3					
Q05D34					
E9Q1S5					
D3Z0R1					
F6R8S6					
F6U8V3					
P13705	17686	NP_034959.2	4437	NP_002430.3	P20585
Q5DTI8	272636	NP_808443.2;XP_006511284.1	83850	NP_114119.2	A0FGR9
A0A0G2JDZ4					
Q8BJS2					
E9PU89					
Q05DU8					
V5TDK8					
Q2HJC3					
D3YUP1					
F6Y577					
Q91UZ5	114663	NP_444491.1	3613	NP_055029.1	O14732
Q3U4Y3					
A0A087WPS4					
Q8BGD9	75705	NP_663600.2	1975	NP_001408.2	P23588
Q80VF8					
Q99L20	103140	NP_598755.1			
A0A0G2JG39					
Q3ULU4					
Q9D2G6					
Q8BM86	108927	NP_780595.1	10186	NP_005771.1	Q9Y693
A0A0G2JG90					
B5TZD5					
D3Z289					
B1AZ15					
D3YZN2					
O08614					
P63260	11465	NP_033739.1	71	NP_001605.1	P63261
P60334	12583	NP_149026.1	1036	NP_001792.2	Q16878
Q9JL15	56048	NP_001185972.1;NP_061374.1;XP_006516777.1;XP_006516778.1	3964	NP_006490.3	O00214
Q6EWG4					
Q7TN03					
Q9EPX6					
Q8C329					
B8JK50					
B9EHF8					
Q1HDU4					
Q6PDZ4					
A0A0J9YUI2					
Q8VGJ9					
Q8HWC0					
Q8BVW0	76051	NP_766260.2	2595	NP_937784.2	Q8TET4
Q3TNZ7					
F4YJQ1					
A0A0J9YTV7					
Q8BHS0					
F6RL36					
P20181	18205	NP_001157506.1;NP_001157507.1;NP_032768.1;XP_006505779.1	4908	NP_001096124.1	P20783
P01667					
Q9ESZ8	14886	NP_001074215.1;NP_001074216.1;NP_001074217.1;NP_034495.2;XP_017176169.1;XP_017176170.1	2969	NP_127492.1	P78347
F6V3Y9					
Q8VG18					
A0A0C6EL31					
Q8BJV0					
G3UZU0					
B1AZP2	228836	NP_001035952.1;NP_001035953.1;NP_001264115.1;NP_001264116.1;NP_666240.4;XP_006499403.1	22839	NP_055717.2	Q9Y2H0
Q91WA9					
A0A0G2JDR9					
A0A0G2JGZ5					
F6RXJ8					
E7FJU6					
X5J4F3					
Q99LR1	76192	NP_077785.2	26090	NP_001035937.1	Q8N2K0
Q8VI63	101513	NP_082584.1;XP_006508514.1;XP_017177396.1	81532	NP_001165694.1	Q70IA6
D3Z7C2					
Q8BG57					
A4VCI8					
E9Q498					
Q32NZ5					
Q3TCT9					
Q3UWS7					
A2NXE8					
A2A880					
Q8BS30					
Q7TSK9					
D3Z549					
Q8VF96					
Q3UZJ3					
D9N008					
Q8C1P6					
Q8CA96					
B7ZC90					
D6RJK4					
E0CXK4					
F6QKK2					
A0A0G2JEC2					
J3QK40					
Q7TR31					
Q3TQJ1					
Q6ZQ25					
Q8CDZ6					
P70180	18162	NP_032754.2	4883		P17342
D3Z591					
A0A0G2JE25					
A0A0J9YU88					
B7ZWF8					
B1AWF2					
Q9CW58					
Q3TM14					
F6ZED4					
Q3V3Q4	100033459	NP_001156410.1	3428	NP_005522.2	Q16666
Q62355					
Q3TQ10					
Q3TE00					
Q0P557	73472	NP_848474.2;XP_006504218.1;XP_006504223.1	132671	NP_660306.1	Q8TC71
Q8K4Q3					
Q8BN14					
Q3TQN9					
P47806	14632	NP_034426.2	2735	NP_005260.1	P08151
Q3UZY7					
Q3UY82					
Q9QYS2	108069	NP_862898.1	2913	NP_000831.2	Q14832
Q3TUB1					
A0A087WSC7					
Q3USC1					
F2Z4A9					
Q8R563					
D3Z1L0					
G3X9U6					
V9GXS1					
D3Z5F7					
B7ZP47					
A0A0F7DDK0					
G3UW88					
D3Z145					
A0A0R5RP42					
Q80ZM5					
Q0VGV2					
Q8BLP9					
P02664	12992	NP_001288263.1;NP_001288264.1;NP_034103.2			
B8JJF3					
D3YUP3					
Q716A6					
A6H6K1					
Q8K527					
D6RCY7					
A2AIW4					
A0A087WQ33					
G3UX32					
D3Z6B7					
B2X2D6					
Q9QWM6					
A2AEB6					
Q9DAQ7					
F6VAI7					
D3Z4H6					
Q99KA3					
G8DM28					
A0A140T8U8					
A2AUT4					
P23440	18587	NP_032832.2	5158	NP_000274.2	P35913
B7ZN57					
P31695	18132	NP_035059.2	4855	NP_004548.3	Q99466
Q8VGL1					
F6Q4M4					
Q3U046					
A0A0U1RNR0					
Q9CR14	67030	NP_001264202.1;NP_080199.1	55120	NP_001108108.1	Q9NW38
Q6RJ37					
E9Q7I3					
E9QKQ9					
A0A0R4J0F6					
Q571K8					
A0A0J9YVE7					
B1ARU4					
E9Q1L6					
Q8CBH3					
Q3UUG1					
Q9CTZ9					
A0A087WPF2					
Q9D0M2	66953	NP_080142.1	83879	NP_114148.3	Q9BWT1
Q6PB90	93885	NP_444369.3			
G3UWP1					
Q8VEN7					
A8VU90	234396	NP_001297431.1;NP_766344.2	126549	NP_689576.5	Q8NAG6
D3Z105					
H3BKL4					
J3KMU4					
E9Q4S8					
Q8K3D7					
Q8K0T4	231912	NP_705800.1;XP_006504891.1;XP_006504892.1	84056	NP_001014402.1	Q9BW62
Q8BVX8					
F7CPT8					
A0A140LHJ9					
C9K0Z7					
Q7TRG4					
F6WEP7					
X5J575					
A0A0N4SVM4					
D3YZR8					
F8WI35					
A0A068BIU3					
P09022					
Q8C2Z8					
F6VNP0					
Q5R1C5					
Q8BI30					
A0A0G2JEC8					
E9PWY2					
Q9DA01	75526	NP_083601.1	100526773	NP_001185915.1	O95925
Q00897	20703	NP_033272.1	5265	NP_001002236.1	P01009
Q3TQH3					
Q8BR61					
D3YZ49					
Q3UV62					
X5J517					
D3Z5Q6					
A0A075B6A0					
Q3TTU7					
A0A087WSD2					
F7ALN1					
Q3TU49					
A0A0G2JES7					
P97330					
P50708					
F6SI62					
Q8CHP6	241915	NP_001159426.1;NP_700470.2	80012	NP_079223.3	Q8NDX5
Q9D7P3					
Q80X23					
Q8C6X9					
E9Q7C9					
A0A0A0MQK2					
Q80YU0	241850	NP_899004.1	140701	NP_542189.1	Q9H3Z7
Q3V1D3	229665	NP_001028475.2	270	NP_000027.2	P23109
Q8C649					
E0CXC3					
A0A140LI69					
Q8R149	215051	NP_666112.1	84811	NP_116114.1	Q9BRD0
Q3SYK2					
Q7TST7					
B1B1E3					
Q8VHT4					
D3Z3F1					
A0A087WRG5					
A0A140LHQ5					
Q5R1B4					
Q8C520					
Q9CPX6	67841	NP_080678.1	64422	NP_071933.2	Q9NT62
Q9D998					
A2AT78					
