9606.ENSP00000300161	P31946
9606.ENSP00000350681	P28324
9606.ENSP00000237853	O00472
9606.ENSP00000320346	Q9HB65
9606.ENSP00000262809	P55199
9606.ENSP00000265840	Q8N336
9606.ENSP00000326342	Q8IZ81
9606.ENSP00000318264	Q96FG2
9606.ENSP00000312185	Q92556
9606.ENSP00000290246	Q96JJ3
9606.ENSP00000377566	Q96BJ8
9606.ENSP00000263621	P08246
9606.ENSP00000252034	P15502
9606.ENSP00000395574	Q14241
9606.ENSP00000331302	Q8IYF1
9606.ENSP00000328232	Q8NG57
9606.ENSP00000262306	Q15370
9606.ENSP00000284811	Q15369
9606.ENSP00000252445	P60002
9606.ENSP00000361536	Q9BW60
9606.ENSP00000346693	Q9NXB9
9606.ENSP00000359022	Q9HB03
9606.ENSP00000358831	Q9GZR5
9606.ENSP00000304736	Q9H5J4
9606.ENSP00000402634	A1L3X0
9606.ENSP00000363779	O95163
9606.ENSP00000256398	Q9H9T3
9606.ENSP00000298937	Q96EB1
9606.ENSP00000346412	Q8TE02
9606.ENSP00000296149	Q0PNE2
9606.ENSP00000359778	Q9HBW9
9606.ENSP00000355465	Q8WYP5
9606.ENSP00000358547	Q00013
9606.ENSP00000334314	O00423
9606.ENSP00000442365	O95834
9606.ENSP00000378254	Q32P44
9606.ENSP00000320663	Q9HC35
9606.ENSP00000451998	Q05BV3
9606.ENSP00000348842	Q6ZMW3
9606.ENSP00000355735	Q5T6L9
9606.ENSP00000302289	Q6PCB8
9606.ENSP00000334037	Q5UCC4
9606.ENSP00000420608	Q8N766
9606.ENSP00000220853	Q15006
9606.ENSP00000245046	Q9P0I2
9606.ENSP00000267750	Q5J8M3
9606.ENSP00000248378	Q9BV81
9606.ENSP00000256545	Q9NPA0
9606.ENSP00000253457	O43402
9606.ENSP00000216799	Q9Y3B6
9606.ENSP00000358857	P50402
9606.ENSP00000376952	Q96AY2
9606.ENSP00000335481	Q96A84
9606.ENSP00000369677	Q9Y6C2
9606.ENSP00000254528	Q9BXX0
9606.ENSP00000332806	Q9NT22
9606.ENSP00000256951	P54849
9606.ENSP00000352540	P54851
9606.ENSP00000270221	P54852
9606.ENSP00000311545	Q14246
9606.ENSP00000472280	Q9UHX3
9606.ENSP00000253673	Q9BY15
9606.ENSP00000327467	Q9H4I9
9606.ENSP00000286523	Q6PJG2
9606.ENSP00000334130	Q7Z589
9606.ENSP00000258106	Q04741
9606.ENSP00000358202	Q04743
9606.ENSP00000355809	Q8N8S7
9606.ENSP00000379383	Q9NRM1
9606.ENSP00000462333	Q8NFI3
9606.ENSP00000306356	O14682
9606.ENSP00000278505	O94919
9606.ENSP00000397679	P21128
9606.ENSP00000429190	Q8N8Q3
9606.ENSP00000382675	Q6UWT2
9606.ENSP00000243878	Q9H0I2
9606.ENSP00000331044	Q8TC29
9606.ENSP00000252674	Q03111
9606.ENSP00000345555	A6NNW6
9606.ENSP00000234590	P06733
9606.ENSP00000324105	P13929
9606.ENSP00000345974	Q7L5Y1
9606.ENSP00000229277	P09104
9606.ENSP00000273920	Q9UHY7
9606.ENSP00000261488	Q8TC92
9606.ENSP00000337146	Q16206
9606.ENSP00000299767	P14625
9606.ENSP00000354238	P22413
9606.ENSP00000350265	O14638
9606.ENSP00000318066	Q9Y6X5
9606.ENSP00000230565	Q9UJA9
9606.ENSP00000296741	Q6UWR7
9606.ENSP00000332656	Q6UWV6
9606.ENSP00000391594	Q14264
9606.ENSP00000317431	Q8IYW4
9606.ENSP00000284885	P98073
9606.ENSP00000360250	P49961
9606.ENSP00000347213	Q9Y5L3
9606.ENSP00000301825	O75355
9606.ENSP00000351520	Q9Y227
9606.ENSP00000335246	O75356
9606.ENSP00000365840	O75354
9606.ENSP00000359520	Q9NQZ7
9606.ENSP00000360561	Q5MY95
9606.ENSP00000429986	Q9NPA8
9606.ENSP00000295571	Q5NDL2
9606.ENSP00000295743	O95936
9606.ENSP00000248070	Q9UBC2
9606.ENSP00000263253	Q09472
9606.ENSP00000315098	Q14507
9606.ENSP00000314810	P56851
9606.ENSP00000374212	Q96L91
9606.ENSP00000408598	A6NDY0
9606.ENSP00000263734	Q99814
9606.ENSP00000300215	P16452
9606.ENSP00000263062	Q9H2F5
9606.ENSP00000258484	Q52LR7
9606.ENSP00000263735	P16422
9606.ENSP00000216968	Q9UNN8
9606.ENSP00000453973	Q9UM22
9606.ENSP00000282041	Q9HCE0
9606.ENSP00000275815	P21709
9606.ENSP00000351209	P29317
9606.ENSP00000337451	P29320
9606.ENSP00000281821	P54764
9606.ENSP00000273854	P54756
9606.ENSP00000374323	Q9UF33
9606.ENSP00000358309	Q15375
9606.ENSP00000166244	P29322
9606.ENSP00000362139	Q5JZY3
9606.ENSP00000381097	P54762
9606.ENSP00000363763	P29323
9606.ENSP00000332118	P54753
9606.ENSP00000350896	P54760
9606.ENSP00000376684	O15197
9606.ENSP00000221730	Q9H6B9
9606.ENSP00000359410	Q8IUS5
9606.ENSP00000436337	P58107
9606.ENSP00000356489	O95278
9606.ENSP00000406027	Q7L775
9606.ENSP00000320543	O95208
9606.ENSP00000268933	Q9H201
9606.ENSP00000429824	Q14677
9606.ENSP00000222139	P19235
9606.ENSP00000252723	P01588
9606.ENSP00000452085	O95925
9606.ENSP00000360798	P42566
9606.ENSP00000281172	Q12929
9606.ENSP00000260585	Q9C0D9
9606.ENSP00000261172	Q99645
9606.ENSP00000369371	Q9NQ60
9606.ENSP00000288985	Q5T890
9606.ENSP00000254928	O75616
9606.ENSP00000296754	Q9NZ08
9606.ENSP00000400376	Q6P179
9606.ENSP00000269571	P04626
9606.ENSP00000267101	P21860
9606.ENSP00000342235	Q15303
9606.ENSP00000288221	O15083
9606.ENSP00000334675	Q2NKX8
9606.ENSP00000013807	P07992
9606.ENSP00000375809	P18074
9606.ENSP00000285398	P19447
9606.ENSP00000347978	P28715
9606.ENSP00000348089	Q03468
9606.ENSP00000265038	Q13216
9606.ENSP00000329471	P24390
9606.ENSP00000258739	P33947
9606.ENSP00000386918	O43731
9606.ENSP00000244869	O14944
9606.ENSP00000353741	P62495
9606.ENSP00000398131	P15170
9606.ENSP00000341247	Q8IYD1
9606.ENSP00000442304	Q4G0M1
9606.ENSP00000222329	P50548
9606.ENSP00000265896	Q14534
9606.ENSP00000279263	O76062
9606.ENSP00000256319	Q9UKR5
9606.ENSP00000348762	P48449
9606.ENSP00000377374	Q969X5
9606.ENSP00000353270	Q96RQ1
9606.ENSP00000349970	Q9Y282
9606.ENSP00000381891	P11308
9606.ENSP00000451080	P84090
9606.ENSP00000250263	Q8IV48
9606.ENSP00000350651	A8K979
9606.ENSP00000361331	O43414
9606.ENSP00000298738	Q5W0A0
9606.ENSP00000262109	Q86X53
9606.ENSP00000387298	A1L162
9606.ENSP00000322609	Q5RHP9
9606.ENSP00000367429	A6NGS2
9606.ENSP00000315614	Q6P6B1
9606.ENSP00000295910	Q7L0X2
9606.ENSP00000185150	Q96DZ1
9606.ENSP00000384900	O75477
9606.ENSP00000276461	O94905
9606.ENSP00000361592	Q96PL5
9606.ENSP00000380453	Q8TAM6
9606.ENSP00000340427	Q7Z2K6
9606.ENSP00000401445	O75460
9606.ENSP00000256797	Q76MJ5
9606.ENSP00000379042	Q96HE7
9606.ENSP00000346635	Q86YB8
9606.ENSP00000266397	Q96DN0
9606.ENSP00000261735	P30040
9606.ENSP00000262455	Q9BS26
9606.ENSP00000000442	P11474
9606.ENSP00000370270	O95718
9606.ENSP00000386171	P62508
9606.ENSP00000366702	Q9UJM3
9606.ENSP00000473153	B6SEH8
9606.ENSP00000472919	B6SEH9
9606.ENSP00000291577	P30042
9606.ENSP00000201647	Q8TE68
9606.ENSP00000320828	Q9H6S3
9606.ENSP00000358820	Q8TE67
9606.ENSP00000278927	Q96AP7
9606.ENSP00000269214	Q5FWF5
9606.ENSP00000306999	Q56NI9
9606.ENSP00000202816	Q9H501
9606.ENSP00000318982	Q96J88
9606.ENSP00000370812	Q9NQ30
9606.ENSP00000340660	Q96BH3
9606.ENSP00000257934	Q14674
9606.ENSP00000339115	Q6ZVH7
9606.ENSP00000367059	B1AK53
9606.ENSP00000206249	P03372
9606.ENSP00000343925	Q92731
9606.ENSP00000405738	Q6NXG1
9606.ENSP00000418748	Q9H6T0
9606.ENSP00000263073	Q86US8
9606.ENSP00000353720	P23141
9606.ENSP00000317842	O00748
9606.ENSP00000304782	Q6UWW8
9606.ENSP00000444052	Q5XG92
9606.ENSP00000428864	Q6NT32
9606.ENSP00000367992	P10768
9606.ENSP00000361669	Q8N693
9606.ENSP00000267113	Q9BSJ8
9606.ENSP00000251527	A0FGR8
9606.ENSP00000374218	A0FGR9
9606.ENSP00000272342	Q9NY74
9606.ENSP00000356251	O60883
9606.ENSP00000452762	P13804
9606.ENSP00000346173	P38117
9606.ENSP00000426638	Q16134
9606.ENSP00000292147	O95571
9606.ENSP00000376436	P14921
9606.ENSP00000353344	P15036
9606.ENSP00000268206	Q7Z2Z2
9606.ENSP00000385551	P50549
9606.ENSP00000384524	O00321
9606.ENSP00000430271	Q6ZN32
9606.ENSP00000357175	P41162
9606.ENSP00000321835	P43268
9606.ENSP00000306894	P41161
9606.ENSP00000379658	P41212
9606.ENSP00000341843	Q9Y603
9606.ENSP00000284881	Q9NYK6
9606.ENSP00000233712	Q9H8M9
9606.ENSP00000270824	Q9NVM1
9606.ENSP00000300255	P58658
9606.ENSP00000264956	P57679
9606.ENSP00000249079	Q9BZE7
9606.ENSP00000264674	Q03112
9606.ENSP00000247270	P22794
9606.ENSP00000333779	P34910
9606.ENSP00000445905	Q96CN4
9606.ENSP00000359356	O60447
9606.ENSP00000376652	Q9UI08
9606.ENSP00000382086	A8MZ36
9606.ENSP00000301607	Q92817
9606.ENSP00000419266	P49640
9606.ENSP00000312385	Q03828
9606.ENSP00000400142	Q01844
9606.ENSP00000325674	Q86VI1
9606.ENSP00000252482	Q2M3D2
9606.ENSP00000369409	Q17RC7
9606.ENSP00000386139	Q8N2X6
9606.ENSP00000272427	Q9Y2D4
9606.ENSP00000321029	Q8NHP7
9606.ENSP00000313140	Q9NVH0
9606.ENSP00000311873	Q9UQ84
9606.ENSP00000296380	Q9H790
9606.ENSP00000326514	Q9NV70
9606.ENSP00000230449	Q96KP1
9606.ENSP00000323377	O60645
9606.ENSP00000253861	Q96A65
9606.ENSP00000389934	O00471
9606.ENSP00000260762	Q8TAG9
9606.ENSP00000334100	Q9UPT5
9606.ENSP00000353564	Q8IYI6
9606.ENSP00000287675	Q9Y2C4
9606.ENSP00000359939	Q9Y3B2
9606.ENSP00000361433	Q13868
9606.ENSP00000323046	Q9NQT5
9606.ENSP00000315476	Q9NPD3
9606.ENSP00000221233	Q9NQT4
9606.ENSP00000398597	Q5RKV6
9606.ENSP00000265564	Q15024
9606.ENSP00000374354	Q96B26
9606.ENSP00000368984	Q06265
9606.ENSP00000366135	Q01780
9606.ENSP00000265843	Q8NEV8
9606.ENSP00000367446	Q16394
9606.ENSP00000379032	Q93063
9606.ENSP00000363398	Q92935
9606.ENSP00000359131	Q9UBQ6
9606.ENSP00000220562	O43909
9606.ENSP00000342626	Q99502
9606.ENSP00000333640	O00167
9606.ENSP00000362978	Q99504
9606.ENSP00000347294	O95677
9606.ENSP00000424243	Q5T1H1
9606.ENSP00000404658	Q92800
9606.ENSP00000320147	Q15910
9606.ENSP00000338934	P15311
9606.ENSP00000315626	Q6ZTI6
9606.ENSP00000331915	Q8N5W9
9606.ENSP00000362187	Q5T9C2
9606.ENSP00000359052	Q5T8I3
9606.ENSP00000333394	Q5XKR9
9606.ENSP00000274217	Q9NUU6
9606.ENSP00000437812	Q4KMX7
9606.ENSP00000437812	P0CH98
9606.ENSP00000354270	O95990
9606.ENSP00000181796	Q9H098
9606.ENSP00000216218	P50502
9606.ENSP00000216218	Q8NFI4
9606.ENSP00000360488	Q70Z53
9606.ENSP00000246100	Q9BQ89
9606.ENSP00000355204	Q8TC76
9606.ENSP00000328347	Q1W6H9
9606.ENSP00000363386	Q8TAY7
9606.ENSP00000355264	Q96PZ2
9606.ENSP00000341565	Q6SJ93
9606.ENSP00000341597	Q9NRY5
9606.ENSP00000240364	Q9C073
9606.ENSP00000376071	Q6P1L5
9606.ENSP00000216214	Q9NWS6
9606.ENSP00000433343	Q9BPY3
9606.ENSP00000277165	Q9NZB2
9606.ENSP00000417970	Q96EK7
9606.ENSP00000364324	Q9NX05
9606.ENSP00000364561	Q5T036
9606.ENSP00000377807	Q96E09
9606.ENSP00000386895	Q9H5Z6
9606.ENSP00000393667	Q8IXS8
9606.ENSP00000257013	A6ZKI3
9606.ENSP00000375267	Q9BWD3
9606.ENSP00000375268	Q17RB0
9606.ENSP00000373360	Q6UXB0
9606.ENSP00000410603	Q86XD5
9606.ENSP00000364814	Q96AQ9
9606.ENSP00000318974	Q8N9E0
9606.ENSP00000398401	Q5BKY9
9606.ENSP00000395249	Q8NC44
9606.ENSP00000304642	Q9H6L5
9606.ENSP00000309432	Q86VR2
9606.ENSP00000410768	Q9P2D6
9606.ENSP00000378710	Q49AJ0
9606.ENSP00000037869	Q96C01
9606.ENSP00000264870	P00488
9606.ENSP00000356382	P05160
9606.ENSP00000227065	A5PLN7
9606.ENSP00000242505	Q96BN6
9606.ENSP00000351345	Q6UXT8
9606.ENSP00000384604	Q6UX46
9606.ENSP00000306888	Q8WW52
9606.ENSP00000282226	Q6UXP7
9606.ENSP00000353887	Q9UHL3
9606.ENSP00000253490	P0C7A2
9606.ENSP00000422293	Q494X1
9606.ENSP00000369907	Q8IYX7
9606.ENSP00000340445	Q658L1
9606.ENSP00000365080	B1AL88
9606.ENSP00000252338	O75949
9606.ENSP00000396627	C9JC47
9606.ENSP00000396627	P0CG42
9606.ENSP00000396627	P0CG43
9606.ENSP00000429726	Q6UWV7
9606.ENSP00000373726	A6NKW6
9606.ENSP00000286544	Q96MY7
9606.ENSP00000419088	Q96A26
9606.ENSP00000357545	Q5T6X4
9606.ENSP00000354891	Q96GL9
9606.ENSP00000349336	P0C2L3
9606.ENSP00000344729	Q6J272
9606.ENSP00000382646	A8MTA8
9606.ENSP00000284486	Q96KS9
9606.ENSP00000362684	Q9BTA0
9606.ENSP00000348852	Q92567
9606.ENSP00000374565	A1KXE4
9606.ENSP00000373808	Q9Y6X4
9606.ENSP00000332615	Q8N8A8
9606.ENSP00000413196	Q05DH4
9606.ENSP00000265978	Q8N612
9606.ENSP00000358251	Q5W0V3
9606.ENSP00000289921	Q86V87
9606.ENSP00000364475	P09467
9606.ENSP00000364486	O00757
9606.ENSP00000334285	A1A519
9606.ENSP00000308292	A6NMN3
9606.ENSP00000367356	Q5VUB5
9606.ENSP00000293443	A8MVW0
9606.ENSP00000304108	Q6P995
9606.ENSP00000379294	Q8WUF8
9606.ENSP00000454380	Q9BQD7
9606.ENSP00000422338	Q6P4H8
9606.ENSP00000307954	Q8TBP5
9606.ENSP00000329040	Q3ZCQ3
9606.ENSP00000369857	Q6UWZ7
9606.ENSP00000298492	Q15018
9606.ENSP00000280987	Q8N128
9606.ENSP00000354070	A6PVY3
9606.ENSP00000359292	Q8IX21
9606.ENSP00000429896	Q8IXR5
9606.ENSP00000368876	Q6ZUX3
9606.ENSP00000355045	Q9Y4F4
9606.ENSP00000342336	Q6UWF9
9606.ENSP00000349175	Q6P0A1
9606.ENSP00000267594	Q8N9Y4
9606.ENSP00000365295	A6NEQ2
9606.ENSP00000246000	Q5T1J6
9606.ENSP00000365585	Q5T319
9606.ENSP00000334415	A6NL82
9606.ENSP00000386657	Q6ZVS7
9606.ENSP00000342604	Q8NB25
9606.ENSP00000265018	Q9ULE4
9606.ENSP00000395340	Q8N0U4
9606.ENSP00000329995	A6NE01
9606.ENSP00000257894	Q8IYM0
9606.ENSP00000329499	A6NFU0
9606.ENSP00000323355	Q17R55
9606.ENSP00000454591	A8MYZ0
9606.ENSP00000277632	Q9H8M7
9606.ENSP00000265299	Q4G0A6
9606.ENSP00000261275	O60320
9606.ENSP00000257515	Q15884
9606.ENSP00000354958	P81408
9606.ENSP00000335808	Q9GZU8
9606.ENSP00000372290	P78312
9606.ENSP00000422131	Q96PV7
9606.ENSP00000305138	Q9BUT9
9606.ENSP00000409009	C9JLW8
9606.ENSP00000429763	Q6ZSG2
9606.ENSP00000366582	A6NMK8
9606.ENSP00000273146	Q9UFP1
9606.ENSP00000417581	Q6PEV8
9606.ENSP00000417496	Q7Z5A9
9606.ENSP00000393987	Q8N3H0
9606.ENSP00000358644	Q7Z5A8
9606.ENSP00000295569	Q96LR4
9606.ENSP00000383933	Q7Z5A7
9606.ENSP00000411372	Q8TCP9
9606.ENSP00000393017	P0CF97
9606.ENSP00000366908	Q5SY85
9606.ENSP00000358170	Q9H8W3
9606.ENSP00000417711	Q6ZU69
9606.ENSP00000398718	Q63HN1
9606.ENSP00000363753	Q9NX38
9606.ENSP00000291634	Q9NSI2
9606.ENSP00000417509	Q9UK61
9606.ENSP00000328426	Q5VWN6
9606.ENSP00000360379	Q5JX71
9606.ENSP00000360376	Q5JX69
9606.ENSP00000323635	Q96ND0
9606.ENSP00000360437	Q96KR6
9606.ENSP00000329735	Q96EL1
9606.ENSP00000349805	Q9NTI7
9606.ENSP00000361254	Q9BRX8
9606.ENSP00000261844	Q32MH5
9606.ENSP00000319897	Q7L5A3
9606.ENSP00000464743	Q9Y5M1
9606.ENSP00000366901	Q8WUB2
9606.ENSP00000319336	Q8N7L0
9606.ENSP00000274673	Q8IXS0
9606.ENSP00000351040	Q9NTX9
9606.ENSP00000427428	Q96MZ4
9606.ENSP00000392452	Q8IW50
9606.ENSP00000350260	Q5XKK7
9606.ENSP00000317289	Q7Z4H9
9606.ENSP00000342576	A4D161
9606.ENSP00000415299	A6H8Z2
9606.ENSP00000351783	Q5U5X8
9606.ENSP00000343115	Q8WU58
9606.ENSP00000359820	Q6P4D5
9606.ENSP00000348086	F5H4B4
9606.ENSP00000299338	Q96M60
9606.ENSP00000295150	Q86W67
9606.ENSP00000463100	P0C875
9606.ENSP00000455971	H3BQW9
9606.ENSP00000357645	Q4G0N7
9606.ENSP00000470910	A6NEA5
9606.ENSP00000473163	A6NCW3
9606.ENSP00000358171	Q6ZW35
9606.ENSP00000464272	A8MYX2
9606.ENSP00000364145	P16118
9606.ENSP00000356047	O60825
9606.ENSP00000369100	Q16875
9606.ENSP00000232375	Q16877
9606.ENSP00000393138	Q5T7N8
9606.ENSP00000366747	Q5T7N7
9606.ENSP00000366752	Q5SNX5
9606.ENSP00000463817	Q08E93
9606.ENSP00000398617	Q8N5Q1
9606.ENSP00000326652	Q96KD3
9606.ENSP00000420140	Q6NXP2
9606.ENSP00000415978	Q5RGS3
9606.ENSP00000469860	Q4VXF1
9606.ENSP00000469860	A6NL05
9606.ENSP00000262365	P0C5J1
9606.ENSP00000358518	P23610
9606.ENSP00000307798	Q86YD7
9606.ENSP00000335082	Q658Y4
9606.ENSP00000429367	A1XBS5
9606.ENSP00000364709	P00742
9606.ENSP00000384957	P03951
9606.ENSP00000253496	P00748
9606.ENSP00000264344	O94988
9606.ENSP00000033079	Q9NYF5
9606.ENSP00000362975	Q8NE31
9606.ENSP00000420954	Q8NDB6
9606.ENSP00000468308	Q96MK3
9606.ENSP00000282633	Q641Q2
9606.ENSP00000351259	Q5SNT6
9606.ENSP00000363482	Q9Y4E1
9606.ENSP00000309786	Q5SRD0
9606.ENSP00000357889	A6NFZ4
9606.ENSP00000357892	Q8N5W8
9606.ENSP00000357586	Q5JW98
9606.ENSP00000357588	Q8N5C1
9606.ENSP00000357594	Q5R3K3
9606.ENSP00000219368	Q7L5A8
9606.ENSP00000263384	Q9Y421
9606.ENSP00000298784	Q86V20
9606.ENSP00000371397	Q8N2R8
9606.ENSP00000331397	Q6ZT52
9606.ENSP00000354688	Q8TCE6
9606.ENSP00000354688	Q6NSW5
9606.ENSP00000318298	Q96IP4
9606.ENSP00000289166	Q96A09
9606.ENSP00000358458	Q5VWP2
9606.ENSP00000308575	Q8NEK8
9606.ENSP00000345029	Q5JRC9
9606.ENSP00000328307	Q8NA70
9606.ENSP00000367913	Q5HY64
9606.ENSP00000409423	Q6ZV65
9606.ENSP00000347744	Q9H0Q0
9606.ENSP00000384880	Q9NUQ9
9606.ENSP00000377225	Q14320
9606.ENSP00000369625	Q9Y247
9606.ENSP00000310057	Q6NSI3
9606.ENSP00000338532	Q14153
9606.ENSP00000239906	Q9NYF3
9606.ENSP00000312017	Q8TBR7
9606.ENSP00000369863	Q71RH2
9606.ENSP00000384396	Q8N1B3
9606.ENSP00000356771	P12259
9606.ENSP00000337477	Q9NP50
9606.ENSP00000354669	Q8N5J2
9606.ENSP00000452885	Q8NBR6
9606.ENSP00000250056	Q9BSJ6
9606.ENSP00000400099	Q6ZS17
9606.ENSP00000259698	Q9Y4F9
9606.ENSP00000045083	Q96MK2
9606.ENSP00000359333	Q5T7M9
9606.ENSP00000360757	Q5VUD6
9606.ENSP00000344331	Q0P6D2
9606.ENSP00000294829	Q8IYT1
9606.ENSP00000305596	Q8TC56
9606.ENSP00000315247	Q8NEG0
9606.ENSP00000431905	Q8N9W8
9606.ENSP00000356096	Q5TYM5
9606.ENSP00000358397	Q86X60
9606.ENSP00000383682	H0Y354
9606.ENSP00000383682	Q6L9T8
9606.ENSP00000359827	Q8NAN2
9606.ENSP00000351138	Q7L4E1
9606.ENSP00000351631	Q5HYJ3
9606.ENSP00000361345	Q5JUQ0
9606.ENSP00000339681	Q5VT40
9606.ENSP00000364731	P08709
9606.ENSP00000288228	Q8TBF8
9606.ENSP00000283357	Q96LP2
9606.ENSP00000323034	Q86UY5
9606.ENSP00000304078	Q5T0W9
9606.ENSP00000363529	Q9BQN1
9606.ENSP00000217429	Q9H4H8
9606.ENSP00000263266	Q2M2I3
9606.ENSP00000330432	Q8NEG4
9606.ENSP00000343279	A6ND36
9606.ENSP00000373565	Q6ZRV2
9606.ENSP00000295092	Q96KN4
9606.ENSP00000302578	Q96KN1
9606.ENSP00000352182	Q9NVL1
9606.ENSP00000355614	Q96GI7
9606.ENSP00000431459	Q8N5H3
9606.ENSP00000259963	Q9UBU6
9606.ENSP00000353393	P00451
9606.ENSP00000443411	Q6ZTR7
9606.ENSP00000300030	Q9H5X1
9606.ENSP00000238823	Q8NCA5
9606.ENSP00000380734	Q52LJ0
9606.ENSP00000252530	Q17RN3
9606.ENSP00000218099	P00740
9606.ENSP00000261755	P16930
9606.ENSP00000243167	O00519
9606.ENSP00000364035	Q6GMR7
9606.ENSP00000284481	Q96KT0
9606.ENSP00000290429	Q8IVS2
9606.ENSP00000256104	P15090
9606.ENSP00000297258	Q01469
9606.ENSP00000377549	P51161
9606.ENSP00000357429	O15540
9606.ENSP00000368362	Q0Z7S8
9606.ENSP00000362817	P05413
9606.ENSP00000274024	P12104
9606.ENSP00000295834	P07148
9606.ENSP00000287647	Q9BXW9
9606.ENSP00000361845	O75844
9606.ENSP00000309163	Q9Y256
9606.ENSP00000429608	Q96PS1
9606.ENSP00000346874	Q8WVX9
9606.ENSP00000182377	Q96K12
9606.ENSP00000292180	Q8NFF5
9606.ENSP00000301838	Q13158
9606.ENSP00000322229	O60427
9606.ENSP00000278840	O95864
9606.ENSP00000278829	Q9Y5Q0
9606.ENSP00000307821	Q8N9I5
9606.ENSP00000360843	Q9UNN5
9606.ENSP00000261942	Q96CS3
9606.ENSP00000233379	Q96GK7
9606.ENSP00000272610	Q6P2I3
9606.ENSP00000372112	Q6P587
9606.ENSP00000342805	Q9NVQ4
9606.ENSP00000356058	O60667
9606.ENSP00000341189	Q05397
9606.ENSP00000332816	Q14289
9606.ENSP00000400513	Q53R41
9606.ENSP00000236980	Q9NYY8
9606.ENSP00000264669	Q14CZ7
9606.ENSP00000369618	Q7L8L6
9606.ENSP00000366765	Q5VT28
9606.ENSP00000352955	P98173
9606.ENSP00000350673	P58499
9606.ENSP00000353025	Q92520
9606.ENSP00000351632	Q96BQ1
9606.ENSP00000370391	Q8IZU1
9606.ENSP00000318716	Q8IZU0
9606.ENSP00000334430	Q8IZT9
9606.ENSP00000354497	Q9Y2M0
9606.ENSP00000373952	O15360
9606.ENSP00000326819	Q8NB91
9606.ENSP00000289081	Q00597
9606.ENSP00000229769	Q9HB96
9606.ENSP00000330875	Q9NPI8
9606.ENSP00000367910	O15287
9606.ENSP00000310842	Q9NVI1
9606.ENSP00000259008	Q9BX63
9606.ENSP00000385021	Q9NW38
9606.ENSP00000267430	Q8IYD8
9606.ENSP00000357682	Q8TC84
9606.ENSP00000411012	Q92636
9606.ENSP00000367808	Q6NZ36
9606.ENSP00000466121	Q9BTP7
9606.ENSP00000322926	Q9Y4F1
9606.ENSP00000264042	O94887
9606.ENSP00000297532	Q14296
9606.ENSP00000304592	P49327
9606.ENSP00000406229	Q14517
9606.ENSP00000261800	Q9NYQ8
9606.ENSP00000298047	Q8TDW7
9606.ENSP00000377862	Q6V0I7
9606.ENSP00000359375	Q969F0
9606.ENSP00000374328	Q5TGI0
9606.ENSP00000361413	Q8N539
9606.ENSP00000324292	Q8TES7
9606.ENSP00000416387	Q8WUP2
9606.ENSP00000331544	P23142
9606.ENSP00000384169	P98095
9606.ENSP00000347596	Q12805
9606.ENSP00000309953	O95967
9606.ENSP00000345008	Q9UBX5
9606.ENSP00000331411	Q53RD9
9606.ENSP00000325527	P35555
9606.ENSP00000262464	P35556
9606.ENSP00000270509	Q75N90
9606.ENSP00000353650	A6NFH5
9606.ENSP00000271234	Q5T0N5
9606.ENSP00000221801	P22087
9606.ENSP00000348489	Q9HAH7
9606.ENSP00000396160	Q9HCM7
9606.ENSP00000310332	P0C2W1
9606.ENSP00000379026	Q5XX13
9606.ENSP00000296438	Q6X9E4
9606.ENSP00000359206	Q9Y297
9606.ENSP00000265094	Q9UKB1
9606.ENSP00000403802	Q9UK96
9606.ENSP00000384823	Q86XK2
9606.ENSP00000393154	Q8NCQ5
9606.ENSP00000369604	Q8IX29
9606.ENSP00000292852	Q96EF6
9606.ENSP00000369335	Q8NFZ0
9606.ENSP00000328187	O94952
9606.ENSP00000307833	Q8NEZ5
9606.ENSP00000416558	O75426
9606.ENSP00000276326	Q8TCJ0
9606.ENSP00000292853	Q8NI29
9606.ENSP00000355827	Q9NVF7
9606.ENSP00000346240	Q9UK22
9606.ENSP00000237281	Q8TB52
9606.ENSP00000310841	Q5XUX0
9606.ENSP00000428205	Q969P5
9606.ENSP00000298097	Q7Z6M2
9606.ENSP00000313159	Q9NWN3
9606.ENSP00000283946	Q8NEA4
9606.ENSP00000342023	Q6PIJ6
9606.ENSP00000321386	Q8N4B4
9606.ENSP00000265651	Q9UK99
9606.ENSP00000337510	Q9UH90
9606.ENSP00000428646	Q8TF61
9606.ENSP00000364742	Q6P3S6
9606.ENSP00000403293	Q4G163
9606.ENSP00000251547	Q9H4M3
9606.ENSP00000410007	Q6PJ61
9606.ENSP00000367319	Q5MNV8
9606.ENSP00000367193	Q5FWF7
9606.ENSP00000281623	Q9UKT5
9606.ENSP00000342137	Q6ZVX7
9606.ENSP00000229758	Q9UKT4
9606.ENSP00000365944	Q9NRD1
9606.ENSP00000266087	Q9Y3I1
9606.ENSP00000377280	Q9NRD0
9606.ENSP00000244426	Q9UK97
9606.ENSP00000417601	Q9UKC9
9606.ENSP00000347834	Q9UKT7
9606.ENSP00000229971	Q9UKA2
9606.ENSP00000344866	Q9UKA1
9606.ENSP00000330098	Q8N531
9606.ENSP00000423630	Q9UJT9
9606.ENSP00000258200	Q96CD0
9606.ENSP00000363036	Q9UKT8
9606.ENSP00000373698	P57775
9606.ENSP00000313034	Q969U6
9606.ENSP00000281708	Q969H0
9606.ENSP00000310686	Q8N3Y1
9606.ENSP00000316491	Q8WWV6
9606.ENSP00000347714	P24071
