gene,TP53_pval,TP53_cor,e3_ligase
HACL1,0.494770883,-0.1603,
TNS1,0.495732934,-0.1602,
ALG10B,0.735685696,-0.16,
CDR2,0.499131216,-0.16,
PKN2,0.496006415,-0.16,
RPL37A,0.4960101,-0.1599,
ARHGEF3,0.569647505,-0.1599,
SERGEF,0.499936701,-0.1598,
SPRYD3,0.49601194,-0.1598,
SH3D21,0.762178076,-0.1597,
NAPA,0.496286365,-0.1597,
NBAS,0.496693225,-0.1597,
SKIDA1,0.596075294,-0.1595,
GMPPA,0.497508333,-0.1595,
POLDIP2,0.497509356,-0.1594,
HNRNPDL,0.497780324,-0.1593,
ARRDC1,0.507504123,-0.1593,
ERGIC1,0.498323707,-0.1592,
NPAS2,0.685304124,-0.1592,
FGFR1OP,0.498323707,-0.1592,
PDZK1,0.498323707,-0.1591,
FSTL1,0.498323707,-0.1591,
SNX21,0.498323707,-0.1591,
CPXM2,0.498458497,-0.159,
ZBED1,0.498323707,-0.159,
TUBGCP4,0.508518444,-0.1589,
GTPBP10,0.499131216,-0.1589,
NSF,0.499534283,-0.1588,
MAPK1IP1L,0.508518444,-0.1588,
PEBP4,0.646691148,-0.1586,
TTC16,0.738208531,-0.1586,
FREM2,0.593225365,-0.1586,
PARD6G,0.512693006,-0.1585,
ZNF385B,0.745850968,-0.1583,
PHKA2,0.502076313,-0.1582,
MRPL57,0.502207871,-0.1582,
GM2A,0.502207871,-0.1581,
MTL5,0.624625979,-0.1581,
ESX1,0.599958158,-0.1581,
ELMO2,0.503008188,-0.158,
STAT6,0.503405882,-0.1579,
GIT1,0.503405882,-0.1579,
RGS9,0.67736173,-0.1577,
ANP32C,0.504333992,-0.1577,
MMP13,0.631602855,-0.1576,
AKAP17A,0.506058667,-0.1574,
VPS39,0.505660816,-0.1574,
PAFAH2,0.516549548,-0.1573,
ORM2,0.506452545,-0.1572,
HSDL2,0.506452545,-0.1572,
PMM2,0.507246764,-0.1571,
INPP5A,0.638942549,-0.1571,
CRTC1,0.507504123,-0.157,
DNAJC17,0.507634787,-0.157,
DENR,0.507765382,-0.1569,
HHIPL1,0.708688586,-0.1568,
RARS2,0.50802178,-0.1568,
FKBP4,0.508282347,-0.1567,
BDH1,0.508518444,-0.1567,
HIP1,0.508518444,-0.1566,
TRPT1,0.508638372,-0.1565,
HINT1,0.508518444,-0.1565,
MARCH2,0.508638372,-0.1564,
RWDD4,0.508638372,-0.1564,
PRMT1,0.508638372,-0.1564,
UBLCP1,0.508887282,-0.1563,
IL1RAP,0.544735096,-0.1563,
TGFB3,0.516175711,-0.1562,
PIH1D1,0.509140538,-0.1562,
REEP6,0.509516759,-0.156,
WIBG,0.510666632,-0.1557,
MYH7B,0.511184478,-0.1556,
AGT,0.511306052,-0.1555,
MRPL17,0.511306052,-0.1555,
PKD1,0.53702853,-0.1553,
FPGS,0.512572996,-0.1552,
MRPL11,0.512572996,-0.1552,
AP1G1,0.512572996,-0.1551,
GATC,0.512572996,-0.1551,
GOLT1A,0.513066145,-0.1549,
CCAR1,0.513066145,-0.1549,
BAG5,0.513066145,-0.1549,
ARL14EP,0.513319198,-0.1548,
TBCE,0.513445625,-0.1548,
EXOC2,0.513928,-0.1546,
DERL2,0.610090151,-0.1544,
CPXM1,0.5146904,-0.1544,
NOSTRIN,0.514933437,-0.1543,
GNB4,0.514933437,-0.1543,
SECISBP2,0.514815979,-0.1543,
VPS29,0.515058824,-0.1543,
COIL,0.515167805,-0.1542,
DMPK,0.518853819,-0.1541,
FUT8,0.526608084,-0.1541,
IGFBP5,0.516798452,-0.1537,
CNN1,0.517543623,-0.1536,
GNA11,0.517667594,-0.1535,
NDUFS3,0.517915345,-0.1534,
PEPD,0.518153189,-0.1533,
IKBIP,0.518523773,-0.1533,
LGALS1,0.518740703,-0.1531,
DACH2,0.583827032,-0.1531,
GANC,0.617850041,-0.1531,
DPP8,0.519232693,-0.1529,
ALOX15B,0.519570041,-0.1528,
PPFIA4,0.519570041,-0.1528,
NPM1P21,0.520070107,-0.1526,
NPM1,0.520070107,-0.1526,
FAM188A,0.52044751,-0.1526,
TBC1D7,0.561322383,-0.1526,
CYP26C1,0.724762204,-0.1525,
HSPA8,0.520569663,-0.1525,
NPRL2,0.56548704,-0.1524,
TLL1,0.597747315,-0.1524,
HS1BP3,0.521533367,-0.1523,
CLCN5,0.562468852,-0.1522,
PCSK1N,0.720426716,-0.1521,
PRMT3,0.522394505,-0.1521,
RPP25L,0.549128887,-0.1521,
LAMTOR4,0.522394505,-0.152,
KIAA1598,0.523229239,-0.1518,
ZNF320,0.523723896,-0.1517,
APOA4,0.523915081,-0.1516,
FRZB,0.550941165,-0.1516,
MCC,0.523915081,-0.1516,
ATXN3,0.523915081,-0.1515,
ANKRD10,0.605365126,-0.1515,
S100A11P1,0.523915081,-0.1515,
PLEKHF2,0.523915081,-0.1515,
EIF1AY,0.525445805,-0.1512,
RAB14,0.525445805,-0.1512,
SDK2,0.722769815,-0.151,
RAD50,0.525445805,-0.151,
RUVBL2,0.525565038,-0.151,
ACBD3,0.525445805,-0.151,
PKHD1L1,0.703247249,-0.151,
LAMA3,0.525445805,-0.151,
LIMS2,0.525445805,-0.151,
FAU,0.526712895,-0.1505,
MRPL4,0.527081816,-0.1505,
PRPH,0.527158338,-0.1504,
DYNC2H1,0.527158338,-0.1503,
WISP2,0.527276395,-0.1503,
LAMTOR3,0.527158338,-0.1503,
YWHAE,0.52837969,-0.1501,
LRRC7,0.556556763,-0.1499,
NDUFA10,0.528644705,-0.1498,
PKDREJ,0.596804871,-0.1498,
TAF5,0.528644705,-0.1498,
MVB12A,0.528644705,-0.1498,
NHLRC2,0.529244622,-0.1497,
MIPEP,0.529331709,-0.1496,
KIAA1324,0.529331709,-0.1496,
STOML3,0.719785028,-0.1496,
STXBP4,0.529331709,-0.1496,
TMEM168,0.570902962,-0.1495,
ATP5A1,0.529798261,-0.1495,
PSMA6,0.531635353,-0.1492,
FHL5,0.6756963,-0.1492,
PBX1,0.531703197,-0.1491,
AS3MT,0.531703197,-0.1491,
MLH3,0.760022943,-0.149,
ME3,0.53181893,-0.149,
SURF1,0.532676839,-0.1489,
TCEA3,0.53302297,-0.1488,
CLSTN1,0.533138233,-0.1488,
PRRX2,0.53302297,-0.1488,
WWC1,0.533253439,-0.1487,
PTRHD1,0.534092559,-0.1486,
PLXDC2,0.534104485,-0.1485,
CADPS2,0.534104485,-0.1484,
MYEF2,0.534104485,-0.1484,
LSM2,0.534104485,-0.1484,
TRNT1,0.534104485,-0.1484,
RAB24,0.534104485,-0.1484,
FLT3,0.534104485,-0.1483,
BSDC1,0.534333399,-0.1483,
ATHL1,0.53702853,-0.1483,
DCX,0.534104485,-0.1483,
AASDHPPT,0.534676348,-0.1482,
DHRS2,0.534676348,-0.1482,
SORL1,0.534869796,-0.1481,
TOMM34,0.534869796,-0.1481,
RERE,0.534869796,-0.1481,
ARHGEF11,0.534869796,-0.148,
ABCC11,0.579422879,-0.148,
EPAS1,0.579572341,-0.1479,
DERA,0.535648749,-0.1478,
WDR20,0.538169529,-0.1478,
PSMG3,0.535648749,-0.1478,
ICOSLG,0.792912749,-0.1477,
MRPL37,0.535857913,-0.1477,
NRIP2,0.541746433,-0.1477,
SARM1,0.536275012,-0.1476,
TTC30A,0.552096995,-0.1475,
HAGH,0.536275012,-0.1475,
MAGI2,0.53702853,-0.1473,
DCAF5,0.537235177,-0.1472,
FAM96B,0.53702853,-0.1472,
SORCS2,0.539650869,-0.1472,
GGACT,0.53702853,-0.1472,
MAP1A,0.537235177,-0.1471,
LRP11,0.724762204,-0.1471,
KANSL1L,0.706239453,-0.1471,
ZNF713,0.60933866,-0.1471,
CRYZL1,0.538169529,-0.1468,
PLA2G16,0.55491459,-0.1467,
MTG1,0.538428841,-0.1465,
MFAP2,0.538762766,-0.1464,
WDR5B,0.539096207,-0.1463,
MAPT,0.539429165,-0.1462,
ARHGAP29,0.5397033,-0.1461,
MTMR9,0.5397033,-0.1461,
ANAPC5,0.5397033,-0.1461,
ADIPOR1,0.573750433,-0.1456,
YPEL2,0.760022943,-0.1455,
PHYKPL,0.542096061,-0.1455,
PHF2,0.542794815,-0.1454,
ZBTB47,0.551913266,-0.1454,
CHMP5,0.542862527,-0.1453,
AP5M1,0.542971812,-0.1453,
ALDH3A1,0.5645688,-0.1453,
COPB1,0.542862527,-0.1453,
VDAC1P5,0.543190225,-0.1452,
KIF17,0.58021759,-0.1452,
COPZ2,0.543886782,-0.1451,
NKIRAS1,0.56990618,-0.145,
IRGQ,0.544430806,-0.1449,
MAML1,0.70586874,-0.1449,
MAT2B,0.544735096,-0.1448,
PNPO,0.544734926,-0.1448,
GEMIN7,0.554141477,-0.1448,
MSL1,0.544735096,-0.1447,
WDR48,0.544735096,-0.1447,
METTL16,0.544735096,-0.1447,
FABP3,0.544735096,-0.1446,
FAM53B,0.64915276,-0.1446,
TAF3,0.563179895,-0.1446,
TCEAL3,0.544735096,-0.1446,
RBPMS,0.5448,-0.1446,
GPX4,0.545015985,-0.1445,
CXorf23,0.621642101,-0.1445,
FAM102A,0.545102163,-0.1444,
ATP5B,0.545188219,-0.1444,
GGCT,0.545102163,-0.1444,
SNX17,0.546155866,-0.1441,
CRYL1,0.546155866,-0.1441,
ANKMY2,0.546753843,-0.1438,
CUTC,0.547158442,-0.1437,
PPM1H,0.547158442,-0.1437,
IFT80,0.550860422,-0.1436,
KRT3,0.547158442,-0.1436,
CBR4,0.548268427,-0.1435,
SLC12A2,0.548374635,-0.1434,
ARHGAP32,0.548268427,-0.1434,
ARMCX1,0.560156498,-0.1434,
PTOV1,0.578333863,-0.1434,
PEX19,0.548822243,-0.1433,
MRPL19,0.549128887,-0.1431,
SLC25A46,0.80686431,-0.1431,
MISP,0.549128887,-0.1431,
TST,0.549468983,-0.143,
FUBP3,0.549128887,-0.143,
B4GALT5,0.5755422,-0.1428,
TRAPPC8,0.549738022,-0.1428,
GIPC2,0.550650515,-0.1426,
ANKRA2,0.550755493,-0.1426,
TIMP2,0.551851602,-0.1424,
MYLK3,0.551913266,-0.1423,
LHPP,0.551913266,-0.1422,
RABEP2,0.552096995,-0.1421,
SCARF2,0.735011868,-0.1421,
EHD4,0.552305006,-0.142,
PIP,0.552567178,-0.1419,
RBM45,0.552567178,-0.1418,
ARCN1,0.55357417,-0.1417,
NECAP1,0.554657203,-0.1415,
COL24A1,0.685268931,-0.1415,
CASKIN1,0.653926288,-0.1414,
CD59,0.554657203,-0.1414,
PACSIN3,0.55491459,-0.1413,
RAB11FIP2,0.570966854,-0.141,
ILK,0.557528776,-0.1407,
BBS9,0.652995368,-0.1403,
VPS26A,0.560330479,-0.1402,
SARS,0.560330479,-0.1402,
C1orf109,0.629544256,-0.1402,
NDUFV2,0.560330479,-0.1402,
MCF2L2,0.740506272,-0.1399,
IGFBP4,0.56189667,-0.1398,
FAM63B,0.5694199,-0.1397,
POLR3D,0.562226263,-0.1397,
ZAK,0.562326463,-0.1397,
SETD2,0.562468852,-0.1396,
MTFR1L,0.562468852,-0.1396,
TBC1D5,0.562739652,-0.1394,
FMOD,0.562739652,-0.1394,
PTER,0.562781432,-0.1394,
KRT38,0.571981393,-0.1393,
STARD9,0.563179895,-0.1393,
COL11A1,0.563179895,-0.1393,
DNAJC12,0.563279397,-0.1392,
CDAN1,0.605860428,-0.1392,
KRT222,0.563606942,-0.1392,
PMPCB,0.56407378,-0.139,
DDX58,0.564004107,-0.139,
DHRS11,0.564004107,-0.139,
MS4A6A,0.750346941,-0.139,
RAX2,0.678248984,-0.1389,
UBALD1,0.633520063,-0.1389,
PPL,0.564766492,-0.1388,
UGCG,0.716742376,-0.1388,
HDAC6,0.564865271,-0.1388,
LIPA,0.564667668,-0.1388,
FLNC,0.56548704,-0.1386,
ERCC1,0.569712635,-0.1385,
AKAP5,0.596802224,-0.1384,
DHX40,0.566463258,-0.1384,
LAMTOR1,0.567278511,-0.1383,
NMRK1,0.567829583,-0.1382,
LGALS3,0.568867966,-0.138,
TINF2,0.583827032,-0.138,
STAB2,0.667472653,-0.138,
MORF4L2,0.56860694,-0.138,
CBX3,0.568867966,-0.1379,
HSPA2,0.5694199,-0.1377,
COMP,0.569647505,-0.1376,
IQGAP2,0.569647505,-0.1376,
LRWD1,0.569647505,-0.1376,
POLM,0.699142699,-0.1375,
MRPL43,0.569712635,-0.1375,
FCGRT,0.570002886,-0.1374,
POP7,0.570614282,-0.1373,
ANAPC2,0.570614282,-0.1373,
ENPP5,0.673911184,-0.1373,
ACYP1,0.570774972,-0.1372,
MMRN1,0.570902962,-0.1371,
KRT84,0.570902962,-0.1371,
SFRP4,0.570902962,-0.137,
THBS2,0.570902962,-0.137,
NDUFV3,0.570902962,-0.137,
ATP5J,0.570966854,-0.1369,
SEPT10,0.570966854,-0.1369,
PRPS2,0.571412743,-0.1367,
UROS,0.571412743,-0.1366,
CENPV,0.57160241,-0.1365,
DCAKD,0.57160241,-0.1365,
HIVEP1,0.62512658,-0.1363,
SNX12,0.571981393,-0.1363,
ALAS1,0.66783997,-0.1363,
GLRX2,0.610814156,-0.1362,
B3GALTL,0.572171301,-0.1362,
FCHO2,0.572488345,-0.1361,
PCK2,0.573438631,-0.136,
PRKG2,0.583827032,-0.1359,
GUSB,0.573750433,-0.1358,
ALDH1B1,0.573689076,-0.1358,
SYNGAP1,0.605860428,-0.1357,
HSBP1,0.574315533,-0.1356,
BMF,0.728575029,-0.1356,
SLITRK6,0.724762204,-0.1355,
ERAP2,0.574912553,-0.1355,
RAD17,0.582760463,-0.1354,
TBC1D8B,0.5755422,-0.1353,
ALDH2,0.576765613,-0.1351,
IRGC,0.670827594,-0.1351,
LRRC70,0.775489848,-0.1346,
ITIH1,0.579017685,-0.1346,
UBE2G2,0.579572341,-0.1345,
FXN,0.58019661,-0.1344,
RALGPS2,0.580104447,-0.1344,
KIAA0930,0.58021759,-0.1343,
FSD1L,0.726325255,-0.1343,
GULP1,0.58021759,-0.1343,
MRPL28,0.580932454,-0.1341,
DHX30,0.581024253,-0.1341,
PCP2,0.750115358,-0.1341,
RNF216,0.649997463,-0.1341,
HINT3,0.581482642,-0.134,
HPX,0.581593601,-0.1339,
TSSC1,0.581593601,-0.1339,
LIMS1,0.582487566,-0.1337,
TRIM44,0.750346941,-0.1337,
ELMSAN1,0.582487566,-0.1337,
HLCS,0.582651518,-0.1336,
UACA,0.582651518,-0.1336,
GRIPAP1,0.582651518,-0.1336,
C2,0.582651518,-0.1335,
KAL1,0.626223814,-0.1335,
PFDN1,0.582651518,-0.1335,
PGPEP1,0.582651518,-0.1335,
MEAF6,0.582651518,-0.1335,
RNASEH2C,0.582760463,-0.1334,
AKR7A2,0.582941941,-0.1333,
GCAT,0.583050316,-0.1332,
ASNA1,0.583140854,-0.1332,
MED4,0.583194864,-0.1332,
MIEN1,0.583050316,-0.1332,
ERLIN1,0.58337568,-0.1331,
LRP8,0.636847742,-0.1328,
PCDH1,0.584875065,-0.1328,
CAPN13,0.588289968,-0.1328,
SNX30,0.585054798,-0.1327,
GADD45GIP1,0.585234375,-0.1327,
C11orf31,0.585054798,-0.1327,
SLC39A6,0.65090768,-0.1325,
C11orf84,0.630110103,-0.1325,
ADNP,0.586294518,-0.1325,
PGAM1,0.586294518,-0.1324,
UBQLN2,0.586562495,-0.1324,
FBLN7,0.6117161,-0.1324,
MRPL21,0.586294518,-0.1324,
FECH,0.586562495,-0.1323,
WDR35,0.586792299,-0.1322,
MAP1B,0.586970465,-0.1322,
FUCA1,0.587161572,-0.1321,
NQO1,0.587161572,-0.1321,
CHRD,0.643929951,-0.1321,
TBCA,0.587110564,-0.1321,
CHST14,0.62460169,-0.1321,
THBD,0.75296772,-0.132,
FERMT1,0.587466005,-0.132,
PTGR1,0.589289847,-0.1317,
SH3BGRL,0.590160896,-0.1315,
CDC23,0.590551786,-0.1314,
GLTSCR1L,0.754224225,-0.1313,
WDR52,0.651682978,-0.1311,
FAM92B,0.783782601,-0.1311,
SEPT11,0.593527187,-0.1309,
MSI2,0.593660812,-0.1309,
REEP5,0.593660812,-0.1308,
DCLK1,0.59452381,-0.1307,
ATP5O,0.594610508,-0.1306,
ABLIM3,0.5952985,-0.1305,
OR1M1,0.596075294,-0.1303,
MRPL39,0.596075294,-0.1303,
ALDH3B2,0.619763005,-0.1301,
RPRD2,0.597618174,-0.1299,
HIBADH,0.597530713,-0.1299,
C10orf67,0.689719312,-0.1299,
AP3S1,0.597618174,-0.1298,
MBOAT7,0.597747315,-0.1298,
GPX3,0.598130976,-0.1297,
UBE2R2,0.597832772,-0.1297,
IFT57,0.608841873,-0.1295,
GLO1,0.599492285,-0.1294,
WDR5,0.599492285,-0.1294,
HIST2H2BF,0.599492285,-0.1293,
HSPA9,0.599874145,-0.1293,
DDX42,0.599492285,-0.1293,
C19orf25,0.599958158,-0.1292,
GPNMB,0.599958158,-0.1291,
GRIP1,0.607792856,-0.1289,
MMS19,0.601564422,-0.1288,
UBL4A,0.601816635,-0.1287,
ATP6V1D,0.601816635,-0.1287,
ATP8B4,0.692786922,-0.1287,
MAPK14,0.602025116,-0.1286,
TAF5L,0.602276611,-0.1285,
ABR,0.602989407,-0.1284,
MRPL24,0.602989407,-0.1284,
IFI27,0.658213754,-0.1281,
CDK5RAP2,0.604243504,-0.128,
HMGCL,0.605199748,-0.1279,
ZZEF1,0.605040286,-0.1279,
ZFAND4,0.720993611,-0.1279,
MYO19,0.605199748,-0.1278,
AGPS,0.605199748,-0.1278,
PIBF1,0.605199748,-0.1278,
USMG5,0.698414239,-0.1278,
RBM18,0.683729051,-0.1278,
GSTP1,0.605612933,-0.1276,
CHDH,0.605860428,-0.1276,
C1orf27,0.606354484,-0.1274,
TTC38,0.606474037,-0.1274,
DDX28,0.606354484,-0.1274,
CRISPLD2,0.606354484,-0.1274,
HIST1H2BD,0.606474037,-0.1273,
LAMB4,0.636847742,-0.1272,
HSPB11,0.607138313,-0.1272,
HIST1H2BM,0.607465858,-0.1271,
INADL,0.607175157,-0.1271,
LRRC58,0.667472653,-0.127,
ALOXE3,0.636881882,-0.127,
SMYD3,0.607792856,-0.127,
SERPINA6,0.608200835,-0.1269,
PPP1R13L,0.608363788,-0.1268,
SRSF1,0.608841873,-0.1267,
ZNF268,0.627042173,-0.1267,
HSD17B8,0.608841873,-0.1266,
NHSL2,0.609616708,-0.1264,
URM1,0.6117161,-0.1264,
GREM2,0.609616708,-0.1264,
CACUL1,0.609616708,-0.1264,
ALB,0.609848216,-0.1262,
PGM3,0.609848216,-0.1262,
TSSK3,0.609848216,-0.1262,
NUFIP2,0.610251275,-0.1261,
DRC1,0.721003539,-0.1261,
ACACB,0.610779954,-0.126,
RRAS,0.610285833,-0.126,
SQRDL,0.610285833,-0.126,
HIST1H2BN,0.610928536,-0.1258,
KLC2,0.610928536,-0.1258,
IGSF1,0.679452086,-0.1256,
OSBP,0.6117161,-0.1256,
RAB23,0.6117161,-0.1256,
TSTA3,0.6117161,-0.1255,
XRCC1,0.6117161,-0.1255,
ANK2,0.6117161,-0.1255,
UFM1,0.611875623,-0.1254,
FIBP,0.611795878,-0.1254,
SLMAP,0.612353406,-0.1253,
KIFAP3,0.612273858,-0.1253,
LMOD1,0.613082048,-0.1251,
S100A10,0.613258691,-0.125,
PARK7,0.613258691,-0.125,
RPAP1,0.613542716,-0.1249,
SSH1,0.630914943,-0.1248,
ELMO3,0.613574903,-0.1248,
CRKL,0.614425738,-0.1247,
PEAK1,0.614346956,-0.1247,
AHNAK2,0.614346956,-0.1247,
IKBKG,0.615242837,-0.1244,
HEBP2,0.61532121,-0.1243,
AKR7A3,0.616198449,-0.1242,
KRT71,0.624224813,-0.1241,
HIST1H2BK,0.616228839,-0.1241,
CUTA,0.616995719,-0.124,
PCNXL2,0.663240714,-0.124,
PTDSS2,0.812928103,-0.124,
NGFR,0.74247221,-0.1239,
UNC13B,0.627042173,-0.1238,
APIP,0.61774316,-0.1238,
HIST3H2BB,0.61774316,-0.1238,
CHAF1B,0.617510287,-0.1238,
MOAP1,0.68875398,-0.1237,
ABHD3,0.701826908,-0.1236,
MED15,0.618923202,-0.1235,
SEPT7,0.618846007,-0.1235,
FOPNL,0.772501185,-0.1234,
CDH5,0.619686028,-0.1233,
HAUS2,0.636582684,-0.1233,
PTRH2,0.622073855,-0.1229,
MTR,0.623746166,-0.1226,
CSNK1G2,0.635886266,-0.1226,
PDE6D,0.623744534,-0.1226,
GPX8,0.623746166,-0.1224,
PARG,0.623746166,-0.1224,
SPAG7,0.623746166,-0.1224,
MICAL2,0.623746166,-0.1224,
STX8,0.636952833,-0.122,
INPP5K,0.62460169,-0.122,
GALNT7,0.624625979,-0.122,
COCH,0.785619129,-0.122,
ANP32A,0.624625979,-0.1219,
MPRIP,0.624625979,-0.1219,
SPIRE1,0.634274453,-0.1219,
OFD1,0.625175556,-0.1216,
ALX1,0.724762204,-0.1216,
MOB4,0.625450481,-0.1215,
IL17RA,0.708688586,-0.1214,
DENND6A,0.626223814,-0.1214,
C5orf24,0.626223814,-0.1214,
DUSP23,0.626521816,-0.1213,
RBPMS2,0.626521816,-0.1213,
TTLL4,0.748430352,-0.1212,
SHOX2,0.726085035,-0.1209,
PYGB,0.629132402,-0.1208,
DYNLRB1,0.629132402,-0.1208,
UROD,0.629544256,-0.1206,
AARSD1,0.629544256,-0.1206,
CRTAP,0.629544256,-0.1206,
ALX3,0.726235507,-0.1206,
MRPL44,0.629544256,-0.1206,
SNAPIN,0.629639387,-0.1205,
REEP4,0.646691148,-0.1205,
TMEM261,0.774457826,-0.1204,
CACNG6,0.636847742,-0.1204,
MAPKAP1,0.630601669,-0.1203,
LMNA,0.630601669,-0.1203,
CTDSP2,0.630914943,-0.1202,
SMAD3,0.630914943,-0.1202,
PLCB3,0.631133836,-0.1201,
CERCAM,0.634543353,-0.1201,
LIMA1,0.630914943,-0.1201,
CAND1,0.631821165,-0.1199,
GATAD1,0.632039216,-0.1199,
SHC2,0.64915276,-0.1198,
COPA,0.632039216,-0.1198,
KIAA0319L,0.632764183,-0.1197,
SPARC,0.632764183,-0.1196,
SBDS,0.632764183,-0.1196,
ZSWIM8,0.632764183,-0.1196,
COBL,0.633861429,-0.1194,
PBRM1,0.633520063,-0.1194,
TTR,0.635957762,-0.1189,
LTBP4,0.63602923,-0.1189,
CCDC88C,0.636582684,-0.1188,
ARL5A,0.657820514,-0.1188,
METTL7A,0.636582684,-0.1188,
CIC,0.636847742,-0.1187,
TAGLN,0.636847742,-0.1187,
ARID2,0.636847742,-0.1186,
GLT8D1,0.812928103,-0.1183,
GNPAT,0.64915276,-0.1181,
CTGF,0.639224183,-0.118,
TGFBR3,0.688864376,-0.1178,
FRMPD1,0.644343312,-0.1176,
CCDC40,0.785587852,-0.1176,
IRAK4,0.64098599,-0.1176,
CST1,0.74247221,-0.1174,
MTHFS,0.641474045,-0.1174,
CCDC22,0.641474045,-0.1174,
CABP7,0.701501206,-0.1174,
PDHB,0.642418833,-0.1171,
ENPEP,0.664872279,-0.1171,
MAP10,0.824098715,-0.1171,
KRT39,0.749648447,-0.117,
TAF6L,0.653406301,-0.1169,
OVCA2,0.64379195,-0.1169,
LONP2,0.644136752,-0.1168,
CNTN2,0.783719174,-0.1167,
DES,0.645199612,-0.1166,
NVL,0.645268192,-0.1166,
MED10,0.645530425,-0.1165,
ANTXR1,0.645872608,-0.1164,
MT-CO1,0.66991337,-0.1163,
ZNF692,0.748430352,-0.1162,
FRY,0.64654378,-0.1162,
PHKB,0.646475619,-0.1162,
TPBG,0.646475619,-0.1162,
CSTF3,0.646691148,-0.1161,
MIS18A,0.724681388,-0.1161,
CCDC170,0.750384105,-0.1161,
CRADD,0.647088121,-0.116,
GSPT2,0.64702017,-0.116,
ATP6V1B1,0.647541831,-0.1159,
FMN1,0.64768798,-0.1158,
FERMT2,0.648016046,-0.1158,
ATP5SL,0.64768798,-0.1158,
MAPKAPK3,0.64768798,-0.1158,
C9orf84,0.842609597,-0.1156,
PTPRM,0.66991337,-0.1156,
ERI3,0.648728976,-0.1156,
AP2A1,0.64915276,-0.1154,
SETD1A,0.64915276,-0.1154,
CYBRD1,0.667472653,-0.1154,
RCOR3,0.649997463,-0.1152,
VCL,0.65090768,-0.1151,
POLE,0.692786922,-0.115,
FBLN2,0.651749578,-0.1149,
SETMAR,0.652398696,-0.1147,
CRBN,0.652398696,-0.1147,
TTC12,0.662106832,-0.1147,
TPCN1,0.693528783,-0.1146,
CYP51A1,0.662233528,-0.1145,
NES,0.653068885,-0.1145,
ZC3H7A,0.653002754,-0.1145,
MXRA8,0.693528783,-0.1145,
MPND,0.700266321,-0.1145,
FEM1C,0.839316553,-0.1144,
IGF1,0.722252775,-0.1144,
AAMP,0.653340336,-0.1143,
POLR2L,0.653472241,-0.1143,
SMAD2,0.653340336,-0.1143,
MRPL13,0.653926288,-0.1142,
ENTPD1,0.661278384,-0.1141,
ZER1,0.664117674,-0.1141,
C17orf85,0.654504404,-0.114,
LIG3,0.654825996,-0.114,
HINT2,0.654570034,-0.114,
SWI5,0.824923703,-0.1139,
CSNK1G3,0.666238037,-0.1139,
ALDH4A1,0.655783543,-0.1138,
RAB11FIP5,0.657820514,-0.1135,
RGSL1,0.812739426,-0.1134,
ABHD11,0.658084303,-0.1134,
HTT,0.658084303,-0.1133,
CCT6A,0.658278443,-0.1133,
KAT6B,0.658472361,-0.1132,
GHDC,0.658601518,-0.1131,
MYH10,0.659809892,-0.1129,
INO80B,0.704119795,-0.1129,
TRAF3IP1,0.660892814,-0.1126,
UQCC1,0.660892814,-0.1126,
DPP4,0.740802055,-0.1125,
TPM2,0.660895634,-0.1125,
DCTD,0.661278384,-0.1124,
OAS3,0.661782751,-0.1123,
PLEKHA3,0.662484725,-0.112,
C4orf27,0.662802479,-0.1118,
FUK,0.662802479,-0.1118,
CNST,0.684978183,-0.1117,
ALKBH7,0.667962525,-0.1116,
OARD1,0.663617117,-0.1116,
SCAMP1,0.664181402,-0.1115,
CLP1,0.664181402,-0.1115,
TRAPPC12,0.664117674,-0.1115,
CYB5R1,0.664181402,-0.1115,
CXXC5,0.689415177,-0.1115,
C15orf40,0.664244124,-0.1115,
PAK7,0.664181402,-0.1115,
ZDHHC17,0.67736173,-0.1114,
PIGR,0.664372016,-0.1113,
PSMB4,0.664372016,-0.1113,
QSOX1,0.664372016,-0.1113,
GNA13,0.664372016,-0.1113,
IFIT5,0.664372016,-0.1113,
RAB22A,0.664372016,-0.1113,
GIGYF1,0.664372016,-0.1113,
TM9SF1,0.664435364,-0.1112,
ATP5D,0.664435364,-0.1112,
RNASE1,0.664434561,-0.1112,
FOXE1,0.807794983,-0.111,
ABHD5,0.664872279,-0.111,
WDR26,0.665369659,-0.111,
HBE1,0.66555621,-0.1109,
TADA1,0.66555621,-0.1109,
APRT,0.665680566,-0.1108,
TTC30B,0.679856982,-0.1108,
PVRL2,0.665680566,-0.1108,
GNA14,0.665804691,-0.1107,
PACS1,0.665866667,-0.1107,
SAT2,0.671189195,-0.1106,
PKIG,0.665866667,-0.1106,
SIRT2,0.666979536,-0.1104,
ALKBH1,0.729106009,-0.1103,
ATP8B2,0.772501185,-0.1103,
ARF6,0.667533185,-0.1102,
UHRF1BP1L,0.667594588,-0.1101,
PHOX2B,0.730168497,-0.1099,
MYO15A,0.842398144,-0.1097,
CLTC,0.66991337,-0.1096,
JADE3,0.677647106,-0.1096,
VIM,0.66991337,-0.1094,
SEMA4A,0.66991337,-0.1094,
BLOC1S3,0.66991337,-0.1094,
NEK6,0.66991337,-0.1094,
DST,0.669973927,-0.1093,
GALNT10,0.701075791,-0.1092,
DHX58,0.671189195,-0.109,
STRN4,0.67149302,-0.1089,
MYO6,0.671553131,-0.1089,
